Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1895-O Barber Dime : NGC G04,157709347533,"Mar 20, 2026",$625.00,$15.95,,,Fixed price,https://www.ebay.com/itm/157709347533
,,"Mar 20, 2026",$625.00,$15.95,,,Fixed price,,1
"1895-O Barber Dime, Better Date New Orleans Mint Issue, Excellent Condition",397708716328,"Mar 18, 2026",$39.00,$3.00,,,Fixed price,https://www.ebay.com/itm/397708716328
1895-O Barber Dime 10c - Highly Collectible US Coin - Key Date!,177934696517,"Mar 18, 2026",$525.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177934696517
1895-O Barber Dime PCGS G06 CAC,406763850089,"Mar 18, 2026",$831.25,$0.00,,,Fixed price,https://www.ebay.com/itm/406763850089
,,"Mar 17, 2026",$39.00,$3.00,,,Fixed price,,6
"8 KEY BARBER DIME 1893-O, 1894-O, 1895-S, 1896-O, 1897-O, 1901-S, 1903-S, 1904-S",117089990232,"Mar 15, 2026",$682.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117089990232
,,"Mar 15, 2026",$682.00,$0.00,,,Fixed price,,1
1895-O 10C Barber Silver Dime NGC Graded Fair 2 - Key Date,117078967804,"Mar 14, 2026",$293.00,$14.95,,,Auction,https://www.ebay.com/itm/117078967804
Liberty Head Dimes Complete Set 1892-1916(All 74 Coins) Includes 1895-O PCGS G04,336463857639,"Mar 14, 2026","$1,575.00",$10.05,,,Auction,https://www.ebay.com/itm/336463857639
,,"Mar 14, 2026",$293.00,$14.95,,,Auction,,1
"Barber Dime Complete Set - 1895 G, 1895-O Liberty AF, 1901 S F/VF",157740238708,"Mar 13, 2026","$2,000.00",$6.50,,,Auction,https://www.ebay.com/itm/157740238708
,,"Mar 13, 2026","$2,000.00",$6.50,,,Auction,,1
"1895-O Barber Dime, Better Date New Orleans Mint Issue, Excellent Condition",397595340232,"Mar 12, 2026",$39.50,$4.99,,,Fixed price,https://www.ebay.com/itm/397595340232
