Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
* 1889-CC CHOICE VF+/XF MORGAN SILVER DOLLAR * FROM ORIGINAL COLLECTION,168092404406,"Jan 25, 2026","$2,013.00",$11.99,,,Auction,https://www.ebay.com/itm/168092404406,1
1889-CC MORGAN DOLLAR F/VF DETAILS KEY DATE CARSON CITY #1215,168106301078,"Jan 31, 2026","$1,200.00",$0.00,,,Fixed price,https://www.ebay.com/itm/168106301078,1
1889-CC Carson City Morgan Silver Dollar Not Encapsulated Illegible Date,168111044310,"Feb 1, 2026",$212.50,$8.49,,,Auction,https://www.ebay.com/itm/168111044310,1
1889-CC Morgan Silver Dollar Carson City Key Date $1,168130336824,"Feb 9, 2026",$750.00,$0.00,,,Auction,https://www.ebay.com/itm/168130336824,1
1889 CC Morgan Silver Dollar PCGS XF-45,168135765436,"Feb 12, 2026","$5,740.00",$0.00,,,Fixed price,https://www.ebay.com/itm/168135765436,1
1889-CC VF30 Morgan Silver Dollar NGC - KEY DATE!!,168164456223,"Feb 23, 2026","$2,350.50",$0.00,,,Auction,https://www.ebay.com/itm/168164456223,1
1889 cc morgan silver dollar copy # JW1008,168202054390,"Mar 8, 2026",$10.00,$5.00,,,Auction,https://www.ebay.com/itm/168202054390,1
1889-CC Morgan Silver Dollar Key Date Carson City Mint - Free Shipping,168270117427,"Apr 7, 2026",$900.00,$0.00,,,Fixed price,https://www.ebay.com/itm/168270117427,1
,,"Apr 6, 2026","$6,369.00",$19.99,,,Auction,,1
,,"Nov 22, 2025","$1,770.00",$0.00,,,Fixed price,,1
1889 MORGAN CC silver Dollar ANACS MS 70 FIRST STRIKE CARSON CITY FIJI MINT,177644891184,"Jan 18, 2026",$139.99,$9.99,,,Fixed price,https://www.ebay.com/itm/177644891184,1
,,"Dec 14, 2025","$1,329.99",$0.00,,,Fixed price,,1
,,"Dec 6, 2025","$2,299.99",$0.00,,,Fixed price,,1
,,"Dec 19, 2025",$850.00,$0.00,,,Auction,,1
,,"Dec 15, 2025","$1,125.00",$0.00,,,Fixed price,,1
,,"Jan 12, 2026","$1,549.36",$0.00,,,Fixed price,,1
1889-CC Morgan Silver Dollar $1 Carson City Coin - Certified PCGS XF Detail (EF),177699545443,"Jan 15, 2026","$2,721.75",$0.00,,,Fixed price,https://www.ebay.com/itm/177699545443,1
,,"Dec 29, 2025",$935.00,$0.00,,,Auction,,1
,,"Dec 30, 2025","$4,300.00",$0.00,,,Fixed price,,1
,,"Jan 3, 2026",$397.00,$0.00,,,Auction,,1
,,"Jan 6, 2026","$2,558.44",$0.00,,,Fixed price,,1
1889-CC Key Date Morgan Silver Dollar $1 VF Details,177790936340,"Jan 24, 2026","$1,035.00",$4.75,,,Auction,https://www.ebay.com/itm/177790936340,1
1889-CC Morgan Silver Dollar $1 US Coin,177796446659,"Jan 28, 2026",$566.85,$0.00,,,Auction,https://www.ebay.com/itm/177796446659,1
1889 MORGAN CC silver Dollar ANACS MS 70 FIRST STRIKE CARSON CITY FIJI MINT,177799740967,"Jan 30, 2026",$149.99,$9.99,,,Fixed price,https://www.ebay.com/itm/177799740967,1
1889-CC Morgan Silver Dollar PCGS VG10 Rare Key Date,177813512235,"Jan 28, 2026","$1,325.00",$0.00,,,Fixed price,https://www.ebay.com/itm/177813512235,1
