Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Jan 12, 2026",$20.51,$10.00,,,Auction,,1
,,"Jan 12, 2026",$3.25,$10.00,,,Auction,,1
Saint Gauden’s $20 22k TRUMP Miniature Coin Liberty Gold Commemorative 1907,317772719794,"Jan 21, 2026",$1.25,$10.00,,,Auction,https://www.ebay.com/itm/317772719794,1
2006 W Buffalo G$50 .9999 Fine Coin NGC PF 70 Ultra Cameo Anna CABRAL SIGNED,326901995569,"Jan 21, 2026","$5,100.00",$7.46,,,Fixed price,https://www.ebay.com/itm/326901995569,1
2006 Buffalo G$50 .9999 Fine-first Strikes MS 69,327016943328,"Feb 28, 2026","$5,556.00",$21.23,,,Fixed price,https://www.ebay.com/itm/327016943328,1
,,"Nov 27, 2025","$4,494.44",$0.00,,,Auction,,1
,,"Nov 24, 2025","$4,260.00",$0.00,,,Fixed price,,1
,,"Jan 18, 2026","$4,703.00",$0.00,,,Fixed price,,1
2006 US Buffalo 1 oz Gold Coin $50 NGC MS70 First Strikes,336407807604,"Jan 26, 2026","$5,000.00",$5.27,,,Fixed price,https://www.ebay.com/itm/336407807604,1
2006 United States Mint American Buffalo (W) One Ounce Gold Proof Coin w/ COA,336410327619,"Jan 28, 2026","$5,399.00",$5.45,,,Fixed price,https://www.ebay.com/itm/336410327619,1
,,"Dec 25, 2025",$11.50,$7.45,,,Fixed price,,1
,,"Nov 28, 2025","$4,800.00",$0.00,,,Fixed price,,1
2006 US Buffalo 1 oz Gold Coin $50 NGC PCGS Ms 70,365966268056,"Jan 27, 2026","$5,499.99",$30.00,,,Fixed price,https://www.ebay.com/itm/365966268056,1
,,"Nov 28, 2025","$4,595.95",$0.00,,,Fixed price,,1
,,"Dec 11, 2025","$4,999.99",$0.00,,,Fixed price,,1
2006 1 oz Gold Buffalo MS-69 PCGS FirstStrike,366198640419,"Feb 14, 2026","$5,400.00",$0.00,,,Fixed price,https://www.ebay.com/itm/366198640419,1
,,"Oct 29, 2025","$4,200.00",$0.00,,,Fixed price,,1
,,"Dec 3, 2025","$4,650.00",$0.00,,,Fixed price,,1
,,"Dec 10, 2025","$4,275.00",$12.60,,,Fixed price,,1
,,"Jan 6, 2026",$52.80,$20.94,,,Fixed price,,1
,,"Jan 15, 2026","$4,913.00",$4.76,,,Auction,,1
2006 W AMERICAN BUFFALO ONE OUNCE GOLD .9999 PROOF COIN (#1),376981886345,"Mar 3, 2026","$5,300.50",$6.20,,,Auction,https://www.ebay.com/itm/376981886345,1
2006 W AMERICAN BUFFALO ONE OUNCE GOLD .9999 PROOF COIN (#2),376981908810,"Mar 3, 2026","$5,360.00",$7.46,,,Auction,https://www.ebay.com/itm/376981908810,1
,,"Dec 6, 2025","$4,400.00",$4.95,,,Fixed price,,1
,,"Dec 17, 2025",$39.95,$5.37,,,Fixed price,,1
