Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Jan 1, 2026",$145.00,$4.65,,,Fixed price,,1
,,"Dec 29, 2025",$900.00,$0.00,,,Auction,,1
,,"Dec 28, 2025",$82.02,$4.00,,,Auction,,1
,,"Dec 28, 2025",$70.00,$5.09,,,Fixed price,,1
,,"Dec 26, 2025",$65.60,$5.68,,,Fixed price,,3
,,"Dec 23, 2025",$73.55,$0.00,,,Fixed price,,5
,,"Dec 21, 2025",$59.99,$8.10,,,Auction,,1
,,"Dec 17, 2025",$70.00,$0.00,,,Auction,,1
,,"Dec 16, 2025",$68.00,$0.00,,,Auction,,1
,,"Dec 16, 2025",$68.33,$0.00,,,Auction,,1
,,"Dec 15, 2025",$69.00,$0.00,,,Auction,,1
,,"Dec 15, 2025",$68.88,$0.00,,,Auction,,1
,,"Dec 15, 2025",$67.13,$0.00,,,Auction,,1
,,"Dec 14, 2025",$64.33,$0.00,,,Auction,,1
,,"Dec 14, 2025",$64.00,$0.00,,,Auction,,1
,,"Dec 13, 2025",$67.02,$0.00,,,Auction,,1
,,"Dec 11, 2025",$63.50,$4.87,,,Fixed price,,1
,,"Dec 11, 2025",$68.00,$0.00,,,Auction,,1
,,"Dec 5, 2025",$63.00,$0.00,,,Auction,,1
,,"Dec 2, 2025",$109.99,$5.80,,,Auction,,1
,,"Dec 2, 2025",$55.50,$7.50,,,Fixed price,,2
,,"Dec 2, 2025",$149.95,$0.00,,,Fixed price,,1
