Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1901-S Morgan Silver Dollar $1 Coin - Rare Date - Certified PCGS AU Details,147151844531,"Feb 26, 2026",$365.75,$0.00,,,Fixed price,https://www.ebay.com/itm/147151844531,1
1879 S and 1901 O $1 Morgan Silver Dollars in Capsules,147172164743,"Mar 4, 2026",$139.38,$0.00,,,Auction,https://www.ebay.com/itm/147172164743,1
1901 S Morgan Silver Dollar $1 Uncertified Ungraded,147175603384,"Mar 2, 2026",$75.00,$8.75,,,Fixed price,https://www.ebay.com/itm/147175603384,1
1901-S Morgan Silver Dollar $1 Coin - Rare Date - Certified NGC AU58 - Rare!,147196270082,"Mar 13, 2026",$620.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147196270082,1
1901-S Morgan Silver Dollar $1 Coin - Rare Date - Certified PCGS AU Details,147200330369,"Apr 7, 2026",$355.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147200330369,1
1901 S Morgan Silver Dollar Coin Nice Choice Key Date,147200642028,"Mar 17, 2026",$249.49,$7.00,,,Fixed price,https://www.ebay.com/itm/147200642028,1
1901 S Morgan Silver Dollar,147213047474,"Mar 24, 2026",$75.00,$6.49,,,Auction,https://www.ebay.com/itm/147213047474,1
1901 S Morgan Silver Dollar,147223207056,"Mar 30, 2026",$61.00,$6.49,,,Auction,https://www.ebay.com/itm/147223207056,1
1901 S Morgan Silver Dollar $1 U.S. Coin,147228513626,"Apr 6, 2026",$85.01,$5.52,,,Auction,https://www.ebay.com/itm/147228513626,1
1901 S Morgan Silver Dollar,147237595502,"Apr 7, 2026",$69.00,$1.70,,,Auction,https://www.ebay.com/itm/147237595502,1
1901 S Morgan Silver Dollar,147237973203,"Apr 9, 2026",$72.00,$3.99,,,Auction,https://www.ebay.com/itm/147237973203,1
