Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1923 Peace Dollar ANA First Generation MS63,236623904563,"Feb 14, 2026",$111.88,$0.00,,,Auction,https://www.ebay.com/itm/236623904563,1
1925 Peace Dollar ANA First Generation MS63,236623909855,"Feb 14, 2026",$123.46,$0.00,,,Auction,https://www.ebay.com/itm/236623909855,1
1878-CC Morgan Silver Dollar Carson City Mint $1 16603,236717846639,"Apr 3, 2026",$208.50,$5.99,,,Auction,https://www.ebay.com/itm/236717846639,1
1878 CC Morgan Dollar Uncirculated. 900 silver,236722417257,"Mar 29, 2026",$500.00,$5.52,,,Fixed price,https://www.ebay.com/itm/236722417257,1
,,"Nov 9, 2025",$8.89,$0.00,,,Fixed price,,1
,,"Nov 16, 2025",$76.00,$5.50,,,Auction,,1
Generic Morgan Silver Dollar $1 Random Year/Mint PCGS MS 64,257194940084,"Jan 26, 2026",$104.99,$5.00,,,Fixed price,https://www.ebay.com/itm/257194940084,1
,,"Dec 4, 2025",$142.95,$4.95,,,Fixed price,,1
1882-CC GSA Morgan Silver Dollar $1 - Carson City Mint,257412097370,"Mar 24, 2026",$327.00,$5.00,,,Auction,https://www.ebay.com/itm/257412097370,1
1901 MORGAN SILVER DOLLAR - Semi Key Date - Nice Coin,257429289484,"Apr 3, 2026",$63.76,$6.00,,,Auction,https://www.ebay.com/itm/257429289484,1
* 1881-S Pci Graded DMPL SUPERB GEM BU MS MORGAN SILVER DOLLAR Coin,257431718375,"Apr 3, 2026",$126.50,$0.00,,,Auction,https://www.ebay.com/itm/257431718375,1
,,"Nov 2, 2025",$132.50,$4.95,,,Auction,,1
,,"Dec 17, 2025",$260.00,$0.00,,,Fixed price,,1
,,"Dec 23, 2025",$136.44,$4.95,,,Auction,,1
2024 Morgan Silver Dollar $1 First Day Of Issue - NGC MS70,267619936111,"Apr 1, 2026",$82.00,$5.45,,,Auction,https://www.ebay.com/itm/267619936111,1
1882 Morgan Silver Dollar Necklace Silver Tone 6mm Rope Bezel 24” Chain New,276564359344,"Jan 20, 2026",$188.50,$0.00,,,Fixed price,https://www.ebay.com/itm/276564359344,1
2023 $1 S Proof Silver Morgan Dollar CAC PR70 DCAM First Day of Delivery,277817644478,"Mar 26, 2026",$127.50,$0.00,,,Auction,https://www.ebay.com/itm/277817644478,1
1889 Morgan Silver Dollar 1 OZ coin - Uncirculated Condition,277822872295,"Mar 28, 2026",$66.77,$5.50,,,Auction,https://www.ebay.com/itm/277822872295,1
1900 Morgan Silver Dollar 1 OZ coin - Uncirculated Condition,277822904155,"Mar 28, 2026",$66.00,$5.50,,,Auction,https://www.ebay.com/itm/277822904155,1
1880-CC Morgan Silver Dollar PCGS VF30,277829431121,"Mar 29, 2026",$371.11,$0.00,,,Auction,https://www.ebay.com/itm/277829431121,1
1878-CC Morgan Silver Dollar GSA Hoard 1878 CC Carson City Mint $1 NGC MS 63 PL,277831335448,"Mar 31, 2026","$1,080.65",$6.00,,,Auction,https://www.ebay.com/itm/277831335448,1
1889 Morgan Silver Dollar ANACS AU55 Philadelphia,277831441291,"Mar 29, 2026",$82.00,$0.00,,,Auction,https://www.ebay.com/itm/277831441291,1
Morgan Silver Dollar 1896 New Orleans Circulated O Mint Mark,277841453503,"Apr 6, 2026",$54.00,$0.78,,,Auction,https://www.ebay.com/itm/277841453503,1
"Choke Gasp! The Best Of 75 Years Of Ec ..., Wood, Wally",277857037352,"Apr 2, 2026",$44.99,$0.00,,,Fixed price,https://www.ebay.com/itm/277857037352,1
,,"Dec 2, 2025",$13.19,$0.00,,,Fixed price,,1
,,"Nov 4, 2025",$49.95,$1.00,,,Fixed price,,1
Lot of 3– 1 oz .999 Fine Silver Rounds – Morgan Dollar Design – Generic Bullion,287098138301,"Jan 26, 2026",$299.99,$11.99,,,Fixed price,https://www.ebay.com/itm/287098138301,1
GSA CC COA Morgan Silver Dollar Nice Card/Certificate (NO COIN)Original Generic,287115997754,"Feb 17, 2026",$7.00,$0.00,,,Fixed price,https://www.ebay.com/itm/287115997754,1
1881 Morgan Silver Dollar Wristwatch Stainless Case Analog Black Leather Strap,287138822172,"Feb 16, 2026",$150.00,$7.95,,,Fixed price,https://www.ebay.com/itm/287138822172,1
1878-S Morgan $1 Dollar Silver BU Uncirculated US Coin,287217978992,"Mar 29, 2026",$96.63,$5.00,,,Auction,https://www.ebay.com/itm/287217978992,1
1886 Morgan Silver Dollar Circulated,287230188536,"Mar 29, 2026",$67.00,$0.00,,,Auction,https://www.ebay.com/itm/287230188536,1
,,"Nov 27, 2025",$125.00,$3.25,,,Auction,,1
"1890 Morgan Silver Dollar Coin, NGC MS-63 ** Old Generation Fatty Holder!",297960047042,"Jan 29, 2026",$227.50,$0.00,,,Auction,https://www.ebay.com/itm/297960047042,1
1880-S MORGAN SILVER DOLLAR,298170463945,"Apr 4, 2026",$63.28,$5.59,,,Auction,https://www.ebay.com/itm/298170463945,1
,,"Oct 21, 2025",$182.00,$7.90,,,Fixed price,,1
,,"Nov 2, 2025",$8.99,$5.15,,,Fixed price,,1
,,"Nov 1, 2025",$280.00,$5.25,,,Auction,,1
"1904-O Morgan Dollar, PCGS MS63 First Generation Holder & CAC Approved",306584415583,"Feb 6, 2026",$125.00,$6.00,,,Fixed price,https://www.ebay.com/itm/306584415583,1
,,"Dec 3, 2025",$162.50,$8.00,,,Auction,,1
Silver Dollar Coin Ring Size 6-13 Handmade Crafted Rare Silver Morgan Men Rings,376763472857,"Apr 13, 2026",$14.13,$6.32,,,Fixed price,https://www.ebay.com/itm/376763472857,20
SCREW TOP SILVER COIN BEZEL 38.00x2.80MM FITS MORGAN/PEACE other DOLLAR COINS,392410185231,"Mar 1, 2026",$24.43,$5.08,,,Fixed price,https://www.ebay.com/itm/392410185231,9
Silver Dollar Coin Ring Size 7-8 Handmade Crafted Rare Silver Morgan Men Rings,318051542673,"Apr 14, 2026",$7.86,$0.00,,,Fixed price,https://www.ebay.com/itm/318051542673,3
1921 MORGAN SILVER DOLLAR Certified MS62,117129202057,"Apr 13, 2026",$70.00,$7.99,,,Auction,https://www.ebay.com/itm/117129202057,1
Early - 1890-O Morgan Silver Dollar - 90% US Coin *162,127803363887,"Apr 15, 2026",$63.00,$0.00,,,Auction,https://www.ebay.com/itm/127803363887,1
Early - 1881-S Morgan Silver Dollar - 90% US Coin *988,127805196017,"Apr 16, 2026",$73.00,$0.00,,,Auction,https://www.ebay.com/itm/127805196017,1
,,"Jan 17, 2026",$199.99,$21.66,,,Fixed price,,1
1899 Circulated Morgan Dollar in a Generic Holder,198283928124,"Apr 16, 2026",$120.00,$8.10,,,Fixed price,https://www.ebay.com/itm/198283928124,1
,,"Jan 16, 2026",$152.99,$0.00,,,Fixed price,,1
,,"Jan 16, 2026",$155.00,$0.00,,,Fixed price,,1
1879 S BU UNCIRCULATED MORGAN SILVER DOLLAR AUTHENTIC U.S.MINT FREESHIPPING 5287,277829173203,"Apr 13, 2026",$333.99,$0.00,,,Auction,https://www.ebay.com/itm/277829173203,1
