Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
Littleton Coin Company American Eagle 1 oz .999 Silver Dollar (1998) NiCE!,168130844277,"Feb 21, 2026",$89.99,$5.61,,,Fixed price,https://www.ebay.com/itm/168130844277,2
1998 - 1 oz American Silver Eagle Coin - One Troy oz .999 Bullion,117016881176,"Feb 21, 2026",$100.00,$5.40,,,Fixed price,https://www.ebay.com/itm/117016881176,1
1998-P American Proof Silver Eagle-Mint Issued Presentation Box & COA (NO Coin),275458981698,"Feb 14, 2026",$9.49,$0.00,,,Fixed price,https://www.ebay.com/itm/275458981698
1998 American Silver Eagle Proof OGP Box With COA and WITHOUT COIN,197630858673,"Feb 13, 2026",$4.99,$5.89,,,Fixed price,https://www.ebay.com/itm/197630858673
1998 Silver American Eagle Dollar UNC Littleton Coin Company - 1oz. Fine Silver,127667847020,"Feb 12, 2026",$95.00,$5.00,,,Auction,https://www.ebay.com/itm/127667847020,1
1998 Silver American Eagle Dollar UNC Littleton Coin Company - 1oz. Fine Silver,127667851010,"Feb 12, 2026",$97.00,$5.30,,,Auction,https://www.ebay.com/itm/127667851010,1
1998 Silver American Eagle NGC MS-70,186944018585,"Feb 10, 2026",$731.95,$0.00,,,Fixed price,https://www.ebay.com/itm/186944018585
02/00008 L#6847 1998 American Silver Eagle 1oz Coin- A.1,157667026165,"Feb 8, 2026",$130.00,$0.00,,,Auction,https://www.ebay.com/itm/157667026165,1
1998 Proof American Silver Eagle – 1 oz Silver Coin in OGP,306360127198,"Feb 6, 2026",$111.01,$0.00,,,Fixed price,https://www.ebay.com/itm/306360127198,2
1998-P Proof American Silver Eagle - Original Government Packaging - Proof,117016941902,"Feb 6, 2026",$118.75,$4.50,,,Fixed price,https://www.ebay.com/itm/117016941902,1
1998-P Proof $1 American Silver Eagle NGC PF70UC Brown Label,314147161379,"Feb 3, 2026",$229.00,$0.00,,,Fixed price,https://www.ebay.com/itm/314147161379,2
,,"Feb 3, 2026",$105.00,$0.00,,,Auction,,1
,,"Feb 1, 2026",$99.00,$0.00,,,Auction,,1
(1) 1998 P 1oz US American Silver Eagle $1 Dollar Proof Bullion Coin w/Box & COA,234884243329,"Jan 31, 2026",$126.84,$0.00,,,Fixed price,https://www.ebay.com/itm/234884243329
1998-P American Silver Eagle Mirror Proof 1 Oz Silver with original box and COA,117002789671,"Jan 31, 2026",$119.53,$0.00,,,Auction,https://www.ebay.com/itm/117002789671,1
1998 American Eagle / Walking Liberty Silver Dollar ( AU ) 1oz .999,117010807509,"Jan 31, 2026",$85.00,$5.07,,,Auction,https://www.ebay.com/itm/117010807509,1
,,"Jan 31, 2026",$85.00,$5.07,,,Auction,,1
1998 Walking Liberty US Eagle Silver Dollar Coin 1 Oz .999 Silver Uncirculated,117003091086,"Jan 29, 2026",$117.50,$3.50,,,Auction,https://www.ebay.com/itm/117003091086,1
1998 WALKING LIBERTY AMERICAN .999 FINE SILVER DOLLAR COIN 1oz. $1 USA,117008218236,"Jan 29, 2026",$115.00,$5.52,,,Fixed price,https://www.ebay.com/itm/117008218236,1
