Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
A7991- 2004 Diamond Kings BB Cards 1-175 +Inserts -You Pick- 15+ FREE US SHIP,234979117906,"Mar 20, 2026",$0.95,$0.00,,,Fixed price,https://www.ebay.com/itm/234979117906
2004 US Mint 20 Coin P & D Uncirculated Coin Set | State Quarters,157511401317,"Mar 19, 2026",$9.50,$5.46,,,Fixed price,https://www.ebay.com/itm/157511401317
2004 S Proof State Quarter Set Gem DCam No Box or COA 5 Coins CN-Clad US Mint,143364196765,"Mar 17, 2026",$8.55,$0.00,,,Fixed price,https://www.ebay.com/itm/143364196765
A7592- 2004 SkyBox LE FB Cards 1-131 +RCs +Inserts -You Pick- 15+ FREE US SHIP,234343018703,"Mar 10, 2026",$0.78,$0.00,,,Fixed price,https://www.ebay.com/itm/234343018703
A8726- 2004 Upper Deck R-Class BB 1-180 +Inserts -You Pick- 15+ FREE US SHIP,335748986141,"Mar 9, 2026",$0.81,$0.00,,,Fixed price,https://www.ebay.com/itm/335748986141
BLEACH + LIVE ACTION MOVIE - ANIME TV DVD (1-366 EPS+4 MOVIES+2 SP) SHIP FROM US,135891515515,"Mar 8, 2026",$78.89,$0.00,,,Fixed price,https://www.ebay.com/itm/135891515515
A1976- 2004 Topps Cracker Jack BB Card #s 1-237 -You Pick- 15+ FREE US SHIP,334564325353,"Mar 2, 2026",$0.86,$0.22,,,Fixed price,https://www.ebay.com/itm/334564325353,22
A4998- 2004 SP Authentic FB Card #s 1-214 +Rookies -You Pick- 15+ FREE US SHIP,235059831962,"Feb 27, 2026",$8.71,$0.15,,,Fixed price,https://www.ebay.com/itm/235059831962,46
B1254- 2004 Bowman Baseball Card #s 1-250 +Rookies -You Pick- 15+ FREE US SHIP,234971198366,"Feb 12, 2026",$0.79,$0.23,,,Fixed price,https://www.ebay.com/itm/234971198366,29
,,"Jan 28, 2026",$6.08,$6.36,,,Fixed price,,17
,,"Jan 24, 2026",$0.71,$0.89,,,Fixed price,,22
,,"Jan 17, 2026",$1.24,$0.20,,,Fixed price,,23
,,"Dec 26, 2025",$0.77,$0.14,,,Fixed price,,31
