Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Dec 12, 2025",$285.00,$5.95,,,Fixed price,,1
,,"Dec 18, 2025",$188.00,$4.84,,,Fixed price,,1
1885-S AU55 Morgan Silver Dollar NGC,146741444530,"Jan 1, 2026",$199.99,$0.00,,,Fixed price,https://www.ebay.com/itm/146741444530,1
,,"Nov 3, 2025",$275.00,$0.00,,,Fixed price,,1
1885-S Morgan Dollar Tough Date XF! #EXQ9,146898690403,"Jan 25, 2026",$99.00,$0.00,,,Fixed price,https://www.ebay.com/itm/146898690403,1
,,"Oct 29, 2025",$420.00,$0.00,,,Fixed price,,1
,,"Nov 6, 2025",$80.53,$0.00,,,Auction,,1
,,"Nov 6, 2025",$75.00,$4.54,,,Auction,,1
,,"Dec 3, 2025",$48.00,$4.95,,,Fixed price,,1
,,"Dec 28, 2025",$625.00,$16.99,,,Fixed price,,1
,,"Nov 20, 2025",$144.50,$0.00,,,Auction,,1
,,"Dec 4, 2025",$42.99,$1.20,,,Auction,,1
,,"Dec 5, 2025",$44.00,$0.50,,,Auction,,1
,,"Dec 8, 2025",$57.51,$0.00,,,Auction,,1
,,"Jan 1, 2026",$160.00,$5.37,,,Fixed price,,1
,,"Dec 27, 2025",$84.99,$0.00,,,Fixed price,,1
,,"Dec 15, 2025",$55.00,$5.15,,,Auction,,1
,,"Dec 26, 2025",$91.11,$3.99,,,Auction,,1
1885 S Morgan Silver Dollar $1 PCGS MS64,147052684841,"Feb 19, 2026",$845.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147052684841,1
1885 S Morgan Silver Dollar FINE,147079590959,"Jan 17, 2026",$86.01,$0.00,,,Auction,https://www.ebay.com/itm/147079590959,1
LOT OF (4) US MORGAN 90% SILVER DOLLARS Mixed Dates 1883-s 1884-s 1885 1887,147100811326,"Jan 25, 2026",$285.00,$8.10,,,Auction,https://www.ebay.com/itm/147100811326,1
"Sterling Coin Bracelet US silver 1885 Morgan Dollar, 64 Kennedy, 51 Franklin, s",147101244568,"Mar 18, 2026",$199.95,$8.10,,,Fixed price,https://www.ebay.com/itm/147101244568,1
1885 S Morgan Dollar - #095 *Combined Shipping for Multiple Orders*,147103102356,"Feb 2, 2026",$122.50,$3.40,,,Auction,https://www.ebay.com/itm/147103102356,1
1885 S Morgan Silver Dollar AU/UNC Better Date-nice Coin,147104800048,"Jan 20, 2026",$95.00,$5.99,,,Fixed price,https://www.ebay.com/itm/147104800048,1
1885-S PCGS VG10 Top 100 VAM-6 S/S Morgan Silver Dollar,147119713647,"Feb 7, 2026",$119.99,$5.99,,,Fixed price,https://www.ebay.com/itm/147119713647,1
1885 S Morgan Dollar Gem BU Brilliant Uncirculated High Grade $1 No Reserve,147135058097,"Feb 10, 2026",$399.99,$5.99,,,Auction,https://www.ebay.com/itm/147135058097,1
US Coin 1885 S Morgan Silver Dollar AU NO RESERVE!,147140151608,"Feb 11, 2026",$138.50,$7.00,,,Auction,https://www.ebay.com/itm/147140151608,1
"1881 S, 1885, 1889, and 1896 $1 Morgan Silver Dollars",147147137250,"Feb 17, 2026",$275.00,$0.00,,,Auction,https://www.ebay.com/itm/147147137250,1
1885-S Morgan Silver Dollar,147147367342,"Feb 11, 2026",$94.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147147367342,1
1885 -s morgan silver dollar Beautiful Toning About Uncirculated . Key Date,147154543995,"Feb 15, 2026",$104.25,$6.50,,,Auction,https://www.ebay.com/itm/147154543995,1
"Half Roll of 10 1885-1921 P S Morgan Silver Dollars, $1 lot Set - All Cleaned",147163942000,"Mar 1, 2026",$721.23,$6.99,,,Auction,https://www.ebay.com/itm/147163942000,1
1885 S Morgan Silver Dollar,147172599806,"Mar 2, 2026",$78.00,$4.15,,,Auction,https://www.ebay.com/itm/147172599806,1
"1885-S Morgan Silver Dollar $1 NGC MS64 CAC, RARE, Free Shipping",147182988517,"Mar 5, 2026",$933.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147182988517,1
"Morgan Silver Dollars. Lot Of 3. 1878-S, 1885, & 1887.",147216831981,"Mar 21, 2026",$150.00,$5.27,,,Fixed price,https://www.ebay.com/itm/147216831981,1
1885 S Morgan Silver Dollar,147226908088,"Apr 3, 2026",$72.00,$0.00,,,Auction,https://www.ebay.com/itm/147226908088,1
1885 *S* MORGAN SILVER DOLLAR *NICE COIN!* FREE SHIPPING! M2980,156624403407,"Mar 2, 2026",$110.00,$0.00,,,Fixed price,https://www.ebay.com/itm/156624403407,1
1885 *S* MORGAN SILVER DOLLAR *NICE COIN!* FREE SHIPPING! M2987,156624420956,"Apr 6, 2026",$160.00,$0.00,,,Fixed price,https://www.ebay.com/itm/156624420956,1
,,"Oct 15, 2025",$525.00,$8.40,,,Fixed price,,1
,,"Dec 12, 2025",$56.95,$6.95,,,Fixed price,,1
,,"Oct 21, 2025",$75.00,$7.80,,,Fixed price,,1
,,"Oct 15, 2025",$83.00,$3.50,,,Auction,,1
,,"Oct 15, 2025",$42.00,$0.00,,,Auction,,1
,,"Oct 22, 2025",$61.00,$0.00,,,Auction,,1
,,"Oct 31, 2025",$50.00,$4.50,,,Fixed price,,1
,,"Oct 22, 2025",$297.50,$27.89,,,Fixed price,,1
,,"Oct 28, 2025",$213.00,$8.40,,,Fixed price,,1
,,"Nov 3, 2025",$103.50,$2.15,,,Auction,,1
,,"Oct 31, 2025",$495.00,$0.00,,,Auction,,1
,,"Nov 1, 2025",$430.00,$0.00,,,Auction,,1
,,"Jan 12, 2026",$70.00,$4.87,,,Fixed price,,1
,,"Nov 14, 2025",$460.00,$0.00,,,Fixed price,,1
,,"Nov 16, 2025",$140.00,$7.35,,,Auction,,1
,,"Nov 23, 2025",$596.00,$3.15,,,Auction,,1
,,"Nov 21, 2025",$80.00,$5.00,,,Auction,,1
,,"Nov 30, 2025",$74.00,$0.00,,,Auction,,1
,,"Nov 30, 2025",$29.00,$4.76,,,Fixed price,,1
,,"Dec 10, 2025",$85.00,$0.00,,,Auction,,1
,,"Dec 8, 2025",$61.00,$0.00,,,Fixed price,,1
,,"Dec 11, 2025",$205.00,$0.00,,,Auction,,1
,,"Dec 21, 2025",$69.40,$0.00,,,Auction,,1
,,"Dec 12, 2025",$225.11,$0.00,,,Auction,,1
,,"Dec 17, 2025",$70.00,$0.00,,,Fixed price,,1
,,"Dec 28, 2025",$90.00,$3.50,,,Auction,,1
,,"Dec 25, 2025",$228.49,$5.07,,,Auction,,1
,,"Dec 30, 2025",$485.01,$6.50,,,Auction,,1
,,"Dec 30, 2025",$751.02,$3.95,,,Auction,,1
,,"Jan 4, 2026",$697.03,$1.85,,,Auction,,1
1885-S Morgan Silver Dollar AU+/UNC Tough Date,157581608557,"Jan 18, 2026",$225.00,$7.70,,,Fixed price,https://www.ebay.com/itm/157581608557,1
,,"Jan 5, 2026",$90.00,$0.00,,,Fixed price,,1
,,"Jan 11, 2026",$670.00,$0.57,,,Auction,,1
1885-S PCGS MS62 Morgan Silver Dollar Better Date Full Prooflike Reverse,157597100386,"Mar 3, 2026",$450.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157597100386,1
1885 Morgan Silver Dollar PCGS MS63 S$1 Philadelphia Minted No Reserve,157600753982,"Jan 18, 2026",$80.00,$0.00,,,Auction,https://www.ebay.com/itm/157600753982,1
1885 Morgan Silver Dollar PCGS MS63 S$1 Philadelphia Minted No Reserve,157609206788,"Jan 21, 2026",$109.16,$0.00,,,Auction,https://www.ebay.com/itm/157609206788,1
1885 Philadelphia Morgan Liberty Head ONE DOLLAR S$1 USD USA 90% Silver Coin BU,157614107739,"Jan 19, 2026",$87.00,$0.00,,,Auction,https://www.ebay.com/itm/157614107739,1
1885 Morgan Silver Dollar PCGS MS64 S$1 Philadelphia Minted No Reserve,157618591888,"Jan 25, 2026",$107.53,$3.50,,,Auction,https://www.ebay.com/itm/157618591888,1
1885-O Morgan Silver Dollar NGC MS64 S$1 New Orleans Minted No Reserve,157618605362,"Jan 25, 2026",$111.50,$3.50,,,Auction,https://www.ebay.com/itm/157618605362,1
G/VG 1885-S Morgan Silver Dollar (1 coin),135241361794,"Jan 10, 2026",$62.98,$0.00,,,Fixed price,https://www.ebay.com/itm/135241361794,2
,,"Jan 17, 2026",$160.66,$0.00,,,Auction,,1
,,"Jan 14, 2026",$590.00,$0.00,,,Fixed price,,1
,,"Jan 14, 2026",$239.99,$0.00,,,Fixed price,,1
,,"Jan 14, 2026",$83.00,$0.00,,,Auction,,1
1885 1901-S Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *426,137215582004,"Apr 15, 2026",$129.49,$0.00,,,Auction,https://www.ebay.com/itm/137215582004,1
,,"Jan 17, 2026",$86.01,$0.00,,,Auction,,1
