Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Dec 17, 2025",$52.95,$0.00,,,Auction,,1
,,"Dec 20, 2025",$61.01,$0.00,,,Auction,,1
,,"Dec 20, 2025",$50.00,$0.00,,,Auction,,1
,,"Dec 26, 2025",$59.00,$4.65,,,Fixed price,,1
,,"Dec 25, 2025",$76.00,$0.00,,,Auction,,1
,,"Dec 28, 2025",$63.00,$0.00,,,Auction,,1
,,"Dec 28, 2025",$139.95,$0.00,,,Auction,,1
,,"Dec 28, 2025",$65.88,$0.00,,,Auction,,1
,,"Jan 1, 2026",$63.00,$0.00,,,Auction,,1
1892-O Morgan Silver Dollar CHOICE XF E377 SHM,136889823031,"Jan 31, 2026",$110.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136889823031,1
,,"Dec 31, 2025",$62.00,$4.54,,,Auction,,1
,,"Jan 4, 2026",$342.13,$0.00,,,Auction,,1
,,"Jan 3, 2026",$54.00,$0.00,,,Auction,,1
VG/F 1892-O Morgan Silver Dollar (1 coin),135681091500,"Jan 25, 2026",$57.28,$13.15,,,Fixed price,https://www.ebay.com/itm/135681091500,40
G/VG 1892-O Morgan Silver Dollar (1 coin),135191943612,"Jan 4, 2026",$54.87,$0.00,,,Fixed price,https://www.ebay.com/itm/135191943612,5
,,"Oct 23, 2025",$19.73,$0.00,,,Fixed price,,6
"1892-O Morgan U.S. Silver Dollar, 90% Silver; tougher date",117138106567,"Apr 16, 2026",$64.00,$4.88,,,Auction,https://www.ebay.com/itm/117138106567,1
,,"Jan 16, 2026",$72.00,$2.47,,,Auction,,1
,,"Jan 14, 2026",$75.00,$0.00,,,Auction,,1
,,"Jan 17, 2026",$275.00,$5.00,,,Fixed price,,1
Early - 1892-O Morgan Silver Dollar - 90% US Coin *414,127803134823,"Apr 15, 2026",$59.00,$0.00,,,Auction,https://www.ebay.com/itm/127803134823,1
Early - 1892-O Morgan Silver Dollar - 90% US Coin *542,127803286137,"Apr 15, 2026",$62.99,$0.00,,,Auction,https://www.ebay.com/itm/127803286137,1
