Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
[Removed] Item 317331139204,317331139204,"Oct 20, 2025",$32.58,$0.00,,,Fixed price,,5
,,"Jan 14, 2026",$60.00,$4.52,,,Fixed price,,1
,,"Jan 14, 2026",$76.00,$0.00,,,Auction,,1
,,"Jan 16, 2026",$123.00,$4.87,,,Fixed price,,1
,,"Jan 15, 2026",$149.26,$0.00,,,Auction,,1
,,"Jan 17, 2026",$67.75,$0.00,,,Auction,,1
VG/F 1886-O Morgan Silver Dollar (1 coin) *9728,127631876456,"Jan 25, 2026",$77.00,$0.00,,,Auction,https://www.ebay.com/itm/127631876456,1
"1886-O 1887-O 1888-O 1889-O 1890-O Morgan Silver Dollars ,Awesome Collection #28",127633468118,"Jan 22, 2026",$309.10,$9.95,,,Auction,https://www.ebay.com/itm/127633468118,1
💎 1882 O Morgan Silver Dollar MONSTER TONER R46,127636572570,"Jan 24, 2026",$76.00,$5.50,,,Fixed price,https://www.ebay.com/itm/127636572570,1
1886-O 1887 Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *650,127637630756,"Jan 26, 2026",$161.50,$0.00,,,Auction,https://www.ebay.com/itm/127637630756,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *673,127637868636,"Jan 26, 2026",$81.00,$0.00,,,Auction,https://www.ebay.com/itm/127637868636,1
1889-O 1886-O Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *685,127641988556,"Jan 28, 2026",$164.05,$0.00,,,Auction,https://www.ebay.com/itm/127641988556,1
Lot of 2 1886-O and 1 1887-O Scarce Morgan Silver Dollars AU Details,127644939946,"Mar 27, 2026",$265.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127644939946,1
1880 1886-O Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *718,127647379415,"Jan 31, 2026",$152.50,$0.00,,,Auction,https://www.ebay.com/itm/127647379415,1
1886-O Morgan Dollar US $1 Coin 90% Silver VF/XF Circulated,127653511448,"Feb 7, 2026",$61.00,$5.99,,,Auction,https://www.ebay.com/itm/127653511448,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *904,127657324669,"Feb 5, 2026",$75.00,$0.00,,,Auction,https://www.ebay.com/itm/127657324669,1
"1886-O Morgan dollar, PCGS AU50, dusty gem original skin PQ+! DavidKahnRareCoins",127677506708,"Mar 8, 2026",$110.06,$0.00,,,Auction,https://www.ebay.com/itm/127677506708,1
"1886-O Morgan dollar, PCGS AU55 beautiful frosty white luster DavidKahnRareCoins",127677506781,"Mar 8, 2026",$205.07,$0.00,,,Auction,https://www.ebay.com/itm/127677506781,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *395,127683088696,"Feb 18, 2026",$66.00,$0.00,,,Auction,https://www.ebay.com/itm/127683088696,1
1886-O $1 Morgan Silver Dollar,127684958295,"Feb 24, 2026",$74.90,$0.00,,,Fixed price,https://www.ebay.com/itm/127684958295,1
Pair 1890-O & 1886-0 Junk Silver Dollars,127692459636,"Feb 23, 2026",$101.88,$7.95,,,Auction,https://www.ebay.com/itm/127692459636,1
1886 O Morgan Silver Dollar #M15090,127695424549,"Mar 2, 2026",$76.00,$0.50,,,Auction,https://www.ebay.com/itm/127695424549,1
1886-O Morgan Silver Dollar MS64 PCGS Great Eye Appeal,127699278819,"Feb 22, 2026",$120.00,$5.20,,,Fixed price,https://www.ebay.com/itm/127699278819,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *555,127701570886,"Feb 28, 2026",$79.00,$0.00,,,Auction,https://www.ebay.com/itm/127701570886,1
lot of 2 morgan silver dollars Toned 1882-o And Uncirculated 1886,127705082679,"Mar 2, 2026",$124.50,$5.20,,,Auction,https://www.ebay.com/itm/127705082679,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *611,127709049576,"Mar 4, 2026",$66.00,$0.00,,,Auction,https://www.ebay.com/itm/127709049576,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *650,127722094147,"Mar 10, 2026",$66.01,$0.00,,,Auction,https://www.ebay.com/itm/127722094147,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *607,127723865895,"Mar 11, 2026",$63.01,$0.00,,,Auction,https://www.ebay.com/itm/127723865895,1
VF 1886-O Morgan Silver Dollar (1 coin) *8512,127724305774,"Mar 13, 2026",$79.95,$0.00,,,Auction,https://www.ebay.com/itm/127724305774,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *571,127734541634,"Mar 16, 2026",$67.66,$0.00,,,Auction,https://www.ebay.com/itm/127734541634,1
1886-O Morgan Silver Dollar PCGS AU53,127739897425,"Mar 20, 2026",$166.50,$5.07,,,Auction,https://www.ebay.com/itm/127739897425,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *503,127750020813,"Mar 21, 2026",$68.85,$0.00,,,Auction,https://www.ebay.com/itm/127750020813,1
1886 O Morgan Silver Dollar,127758038255,"Mar 26, 2026",$56.00,$5.29,,,Auction,https://www.ebay.com/itm/127758038255,1
1886-O $1 Morgan Silver Dollar (Circulated),127765821286,"Mar 30, 2026",$67.66,$5.07,,,Auction,https://www.ebay.com/itm/127765821286,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *863,127779298980,"Apr 3, 2026",$63.00,$0.00,,,Auction,https://www.ebay.com/itm/127779298980,1
1886 O Morgan Silver Dollar,127779311717,"Apr 7, 2026",$56.00,$5.07,,,Auction,https://www.ebay.com/itm/127779311717,1
1886 O morgan dollar uncirculated,127782838018,"Apr 1, 2026",$89.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127782838018,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *796,127799745334,"Apr 13, 2026",$55.01,$0.00,,,Auction,https://www.ebay.com/itm/127799745334,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *765,127803456174,"Apr 15, 2026",$66.00,$0.00,,,Auction,https://www.ebay.com/itm/127803456174,1
Early - 1886-O Morgan Silver Dollar - 90% US Coin *419,127805327902,"Apr 16, 2026",$56.00,$0.00,,,Auction,https://www.ebay.com/itm/127805327902,1
"Lot of 4 Morgan Silver Dollars – 1879‑S, 1881‑S (x2), 1886‑O – Strong Detail AU+",127805578973,"Apr 12, 2026",$260.00,$5.52,,,Fixed price,https://www.ebay.com/itm/127805578973,1
,,"Dec 23, 2025",$310.00,$27.84,,,Fixed price,,1
,,"Jan 5, 2026",$90.00,$5.90,,,Fixed price,,1
,,"Dec 23, 2025",$49.00,$0.00,,,Fixed price,,1
,,"Dec 8, 2025",$48.00,$0.00,,,Fixed price,,1
1886-O Morgan Silver Dollar $1 ICG AU55,134985121300,"Feb 17, 2026",$210.00,$0.00,,,Fixed price,https://www.ebay.com/itm/134985121300,1
,,"Dec 24, 2025",$229.00,$0.00,,,Fixed price,,1
1886-O Morgan Silver Dollar *7360,135190528694,"Mar 31, 2026",$189.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135190528694,1
1886-O Morgan Silver Dollar *9403,135244817904,"Mar 9, 2026",$129.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135244817904,1
1886-O Morgan Silver Dollar *6169,135259647522,"Jan 29, 2026",$89.00,$0.00,,,Fixed price,https://www.ebay.com/itm/135259647522,1
1886-O Morgan Silver Dollar AU50 ICG *2377,135431947723,"Mar 31, 2026",$149.95,$0.00,,,Fixed price,https://www.ebay.com/itm/135431947723,1
1886-O Morgan Silver Dollar AU50 ICG *3414,135461303429,"Mar 31, 2026",$149.95,$0.00,,,Fixed price,https://www.ebay.com/itm/135461303429,1
1886-O Morgan Silver Dollar XF,135728111400,"Feb 8, 2026",$70.00,$5.95,,,Fixed price,https://www.ebay.com/itm/135728111400,1
,,"Nov 18, 2025",$149.99,$4.87,,,Fixed price,,1
,,"Nov 5, 2025",$99.99,$5.49,,,Fixed price,,1
1886 O High Grade Better Date Morgan Silver Dollar Great Looking Free Ship A,136489612301,"Jan 25, 2026",$82.99,$0.00,,,Fixed price,https://www.ebay.com/itm/136489612301,1
,,"Dec 16, 2025",$220.00,$0.00,,,Fixed price,,1
