Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1884-S Morgan Silver Dollar $1 - San Francisco Mint - 90% Silver - AG-G Details,127639489568,"Jan 29, 2026",$79.00,$0.00,,,Auction,https://www.ebay.com/itm/127639489568,1
"lot of 5 Morgan silver dollars, 1881, 1882 S, 1883, 1884, 1884 O",127642094941,"Jan 28, 2026",$409.00,$5.75,,,Auction,https://www.ebay.com/itm/127642094941,1
1884 S Morgan Silver Dollar (Details),127643379116,"Jan 31, 2026",$69.00,$3.49,,,Auction,https://www.ebay.com/itm/127643379116,1
1884-S Morgan Silver Dollar NGC XF Details,127644963271,"Jan 28, 2026",$120.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127644963271,1
Early - 1884-S Morgan Silver Dollar - 90% US Coin *472,127647742558,"Jan 31, 2026",$77.01,$0.00,,,Auction,https://www.ebay.com/itm/127647742558,1
1884-S 1890-O Morgan Silver Dollar - 90% US Coin 2 Coin Lot! *380,127649373903,"Feb 1, 2026",$159.50,$0.00,,,Auction,https://www.ebay.com/itm/127649373903,1
1884 S Morgan Silver Dollar,127651242615,"Feb 9, 2026",$275.00,$8.10,,,Fixed price,https://www.ebay.com/itm/127651242615,1
1884 S Morgan Dollar Better Date Silver PL Coin Proof Like,127661096499,"Feb 20, 2026",$144.00,$3.99,,,Fixed price,https://www.ebay.com/itm/127661096499,1
RARE! 1884 S Morgan Silver Dollar ~ ESTATE SALE FIND ~ HIGH GRADE,127668174069,"Feb 10, 2026",$166.50,$6.50,,,Auction,https://www.ebay.com/itm/127668174069,1
1884 S Morgan Dollar $1 AU About Uncirculated Cleaned 90% Silver,127672067928,"Feb 9, 2026",$325.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127672067928,1
1884-S San Francisco Mint Morgan Silver Dollar XF+,127673637664,"Feb 15, 2026",$167.50,$0.00,,,Auction,https://www.ebay.com/itm/127673637664,1
1884-S MORGAN DOLLAR - .900 SILVER COIN,127675404580,"Feb 9, 2026",$69.99,$6.95,,,Fixed price,https://www.ebay.com/itm/127675404580,1
1884-S Morgan Silver Dollar VF Key Date Very Fine FS,127676071926,"Mar 4, 2026",$115.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127676071926,1
Lot of 4 Morgan Silver Dollars 1881 S 1883 O 1921 1884 O ungraded,127677095341,"Feb 24, 2026",$270.00,$5.52,,,Fixed price,https://www.ebay.com/itm/127677095341,1
"lot of 5 Morgan silver dollars, 1879 S, 1884 S, 1888 O, 1897 O, 1901 O",127677723702,"Feb 15, 2026",$305.00,$5.75,,,Auction,https://www.ebay.com/itm/127677723702,1
lot of 3 morgan silver dollars High Grade 1884 O 1890 S 1900 Beautiful Coins,127680991172,"Feb 19, 2026",$177.50,$5.52,,,Auction,https://www.ebay.com/itm/127680991172,1
