Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
"1879-S Morgan silver dollar PCGS graded MS64, bright and pretty.",157172256685,"Feb 26, 2026",$130.67,$0.00,,,Fixed price,https://www.ebay.com/itm/157172256685,3
[Removed] Item 177494557473,177494557473,"Oct 19, 2025",$18.33,$5.99,,,Fixed price,,3
[Removed] Item 197747640218,197747640218,"Nov 1, 2025",$20.00,$0.00,,,Fixed price,,4
1879S Morgan Silver Dollar $1 PCGS MS 63,198141535730,"Feb 28, 2026",$109.95,$0.00,,,Fixed price,https://www.ebay.com/itm/198141535730,4
1879 Morgan Dollar ~ AU UNC About Uncirculated ~ 90% Silver $1 US Coin,256381367976,"Nov 20, 2025",$48.75,$0.00,,,Fixed price,https://www.ebay.com/itm/256381367976,3
1879 Morgan Dollar ~ VG VERY GOOD ~ 90% Silver $1 US Coin Collectible,256635435924,"Dec 3, 2025",$44.95,$0.00,,,Fixed price,https://www.ebay.com/itm/256635435924,3
,,"Dec 27, 2025",$68.74,$0.00,,,Fixed price,,4
1879 S Morgan Dollar From OBW Estate Roll Choice-Gem Bu Uncirculated 90% Silver,266833607863,"Feb 24, 2026",$154.93,$0.00,,,Fixed price,https://www.ebay.com/itm/266833607863,3
1879 Morgan Dollar ~ XF EXTREMELY FINE ~ 90% Silver $1 US Coin Collectible,267215527593,"Oct 31, 2025",$44.95,$0.00,,,Fixed price,https://www.ebay.com/itm/267215527593,3
[Removed] Item 357942405263,357942405263,"Dec 5, 2025",$23.56,$4.99,,,Fixed price,,3
1879 - CC Morgan 90% Silver Dollar Uncirculated coins Collectible Series,389733206765,"Mar 15, 2026",$42.99,$0.00,,,Fixed price,https://www.ebay.com/itm/389733206765,4
1879 P Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,397383690055,"Jan 27, 2026",$188.30,$0.00,,,Fixed price,https://www.ebay.com/itm/397383690055,3
,,"Oct 24, 2025",$90.12,$0.00,,,Fixed price,,4
,,"Nov 25, 2025",$22.05,$0.00,,,Fixed price,,3
1879-S Morgan Silver Dollar MS64 PCGS Blue Label,126651296705,"Jan 15, 2026",$111.70,$0.00,,,Fixed price,https://www.ebay.com/itm/126651296705,2
1879-S Morgan Dollar MS62 ANACS,127126348378,"Feb 9, 2026",$96.77,$0.00,,,Fixed price,https://www.ebay.com/itm/127126348378,2
[Removed] Item 127454896926,127454896926,"Nov 29, 2025",$19.76,$0.00,,,Fixed price,,2
,,"Oct 29, 2025",$33.38,$0.00,,,Fixed price,,2
"1879-CC Morgan Silver Dollar, Collectible Tribute Piece",137010951828,"Mar 1, 2026",$11.02,$0.00,,,Fixed price,https://www.ebay.com/itm/137010951828,6
,,"Nov 15, 2025",$21.60,$0.00,,,Fixed price,,2
1879 S Morgan Silver Dollar,157555709758,"Jan 20, 2026",$115.00,$5.27,,,Fixed price,https://www.ebay.com/itm/157555709758,2
,,"Jan 10, 2026",$62.00,$0.00,,,Fixed price,,4
1879 Morgan Silver Dollar,194519206562,"Jan 27, 2026",$77.99,$0.00,,,Fixed price,https://www.ebay.com/itm/194519206562,2
,,"Dec 9, 2025",$49.99,$0.00,,,Fixed price,,2
1879-S S$1 Morgan Silver Dollar PCGS MS63PL Proof Like - Purple Core,226815994890,"Jan 19, 2026",$189.99,$5.00,,,Fixed price,https://www.ebay.com/itm/226815994890,2
,,"Dec 31, 2025",$465.00,$0.00,,,Fixed price,,2
[Removed] Item 236382024014,236382024014,"Oct 20, 2025",$20.95,$0.00,,,Fixed price,,2
1879 Proof 1 Ozt Silver Schoolgirl Morgan Dollar,236440978555,"Feb 19, 2026",$100.00,$14.95,,,Fixed price,https://www.ebay.com/itm/236440978555,2
✯1879 S Uncirculated Morgan Silver Dollar 1x Choice/Gem BU From OBW Roll Estate✯,274831770365,"Apr 9, 2026",$148.50,$0.00,,,Fixed price,https://www.ebay.com/itm/274831770365,2
1879-O Morgan Silver Dollar MS61 PCGS,297738925434,"Feb 18, 2026",$217.25,$0.00,,,Fixed price,https://www.ebay.com/itm/297738925434,2
[Removed] Item 298139357742,298139357742,"Mar 24, 2026",$61.45,$0.00,,,Fixed price,,2
1879-S $1 Morgan Silver Dollar NGC MS64 Brown Label,317069186466,"Jan 28, 2026",$114.90,$0.00,,,Fixed price,https://www.ebay.com/itm/317069186466,2
[Removed] Item 317406039304,317406039304,"Nov 24, 2025",$22.69,$0.00,,,Fixed price,,2
,,"Nov 21, 2025",$47.78,$4.50,,,Fixed price,,2
,,"Feb 23, 2026",$72.00,$5.29,,,Fixed price,,2
Brilliant GEM Uncirculated $1 1879-S Morgan US Silver Dollar 90% BU WHITE,326555571051,"Apr 4, 2026",$229.72,$0.00,,,Fixed price,https://www.ebay.com/itm/326555571051,2
,,"Dec 30, 2025",$350.00,$0.00,,,Fixed price,,2
1879-1900 P Morgan Silver Dollars - PCGS Gold Shield - FRESHLY GRADED $90 Each,326894340925,"Jan 27, 2026",$85.00,$0.00,,,Fixed price,https://www.ebay.com/itm/326894340925,20
,,"Nov 12, 2025",$50.00,$0.00,,,Fixed price,,2
