Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1892 S Morgan Silver Dollar,147174203234,"Mar 3, 2026",$80.05,$6.49,,,Auction,https://www.ebay.com/itm/147174203234,1
1892-S Morgan Silver Dollar Coin,147243559918,"Apr 5, 2026",$99.00,$4.88,,,Fixed price,https://www.ebay.com/itm/147243559918,1
1892 S MORGAN SILVER DOLLAR VG (X3304),155109977764,"Feb 11, 2026",$90.00,$0.00,,,Fixed price,https://www.ebay.com/itm/155109977764,1
,,"Nov 16, 2025",$149.00,$5.95,,,Fixed price,,1
1892-S NGC VF35 MORGAN DOLLAR,155702881825,"Jan 26, 2026",$390.00,$0.00,,,Fixed price,https://www.ebay.com/itm/155702881825,1
,,"Nov 5, 2025",$90.00,$0.00,,,Fixed price,,1
,,"Jan 3, 2026",$100.00,$8.00,,,Fixed price,,1
,,"Jan 13, 2026",$55.00,$7.50,,,Fixed price,,1
1892-S Morgan Silver Dollar - NGC AU DETAILS - CLEANED - Tough Date! - F#5012,156901741746,"Feb 23, 2026",$800.00,$0.00,,,Fixed price,https://www.ebay.com/itm/156901741746,1
[Removed] Item 376628663243,376628663243,"Nov 17, 2025",$37.17,$0.00,,,Fixed price,,29
1892-S Morgan Silver Dollar Key Date NGC XF 40,127611777056,"Apr 16, 2026",$540.00,$5.00,,,Fixed price,https://www.ebay.com/itm/127611777056,1
,,"Jan 17, 2026",$275.00,$5.00,,,Fixed price,,1
1892 S Morgan Silver Dollar - VF !!,136420252743,"Apr 15, 2026",$200.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136420252743,1
,,"Jan 15, 2026",$125.95,$0.00,,,Fixed price,,1
,,"Jan 15, 2026",$74.99,$0.00,,,Auction,,1
,,"Jan 16, 2026",$89.00,$0.00,,,Fixed price,,1
"1892-S Morgan Silver Dollar $1, F/VF. F154",137209581505,"Apr 15, 2026",$109.95,$5.00,,,Fixed price,https://www.ebay.com/itm/137209581505,1
1892-S CAC VG8 Morgan Silver Dollar $1 Low Mintage - Harder To Find Original,146972506657,"Apr 16, 2026",$111.99,$0.00,,,Fixed price,https://www.ebay.com/itm/146972506657,1
,,"Jan 17, 2026",$77.00,$0.00,,,Auction,,1
,,"Jan 14, 2026",$93.00,$6.00,,,Auction,,1
1892-S PCGS XF45 Morgan Dollar - Key Date - PCGS Gold Shield - PQ !!!,147251884590,"Apr 14, 2026",$905.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147251884590,1
