Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2026 P 1/4 oz Australian Gold Lunar Series III Horse Coin (BU),397017034250,"Jan 18, 2026","$1,164.36",$0.00,,,Fixed price,https://www.ebay.com/itm/397017034250,19
,,"Jan 14, 2026",$309.24,$0.00,,,Fixed price,,10
1/20th Oz gold - Lunar Series 2026 Ascension G$2 Horse PF 70 ULTRA CAMEO,188275854395,"Apr 14, 2026",$295.00,$5.20,,,Fixed price,https://www.ebay.com/itm/188275854395,1
2026 Australian Lunar Year of the Horse 1/10 oz Gold Proof $15 Coin Series-3,326754691773,"Oct 23, 2025",$560.00,$43.02,,,Fixed price,https://www.ebay.com/itm/326754691773,1
2026 P Australia Gold Lunar Series III Year of the Horse 1/10 oz $15 - BU,306722148010,"Apr 23, 2026",$560.94,$0.00,,,Fixed price,https://www.ebay.com/itm/306722148010,93
2026 P 1/10 oz Australian Gold Lunar Series III Horse Coin (BU),397017034253,"Apr 24, 2026",$487.47,$0.00,,,Fixed price,https://www.ebay.com/itm/397017034253,48
1/100 oz .9999 Gold Bar - Lunar Year of the Horse Gold Bullion Bar #A734,317190344060,"May 1, 2026",$67.34,$0.00,,,Fixed price,https://www.ebay.com/itm/317190344060,47
2026 P 1/20 oz Australian Gold Lunar Series III Horse Coin (BU),388916277460,"Apr 11, 2026",$290.59,$0.00,,,Fixed price,https://www.ebay.com/itm/388916277460,54
2026 P Australia Gold Lunar Series III Year of the Horse 1/4 oz $25 - BU,306722147853,"Apr 28, 2026","$1,366.38",$0.00,,,Fixed price,https://www.ebay.com/itm/306722147853,17
2026 P 1/4 oz Australian Gold Lunar Series III Horse Coin (BU),397017034250,"Jan 18, 2026","$1,179.57",$0.00,,,Fixed price,https://www.ebay.com/itm/397017034250,13
2026 P Australia Gold Lunar Series III Year of the Horse 1 oz $100 - BU,306722147708,"Apr 19, 2026","$5,254.35",$0.00,,,Fixed price,https://www.ebay.com/itm/306722147708,12
2026 Australia Bullion GOLD $5 Lunar Year of the Horse NGC MS70 1/20oz Coin FR,257171976734,"Apr 18, 2026",$438.55,$0.00,,,Fixed price,https://www.ebay.com/itm/257171976734,6
2026 Australia PROOF GOLD $100 Lunar Year of the Horse NGC PF70 1oz Coin FR,257165076806,"Mar 11, 2026","$5,764.74",$0.00,,,Fixed price,https://www.ebay.com/itm/257165076806,6
2026 Australia 1 oz Gold Lunar Year of the Horse BU,116797993377,"Dec 8, 2025","$4,485.21",$0.00,,,Fixed price,https://www.ebay.com/itm/116797993377,4
,,"Jan 24, 2026",$328.90,$0.00,,,Fixed price,,5
,,"Jan 28, 2026",$327.61,$0.00,,,Fixed price,,4
