Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Nov 14, 2025",$135.28,$7.43,,,Fixed price,,3
,,"Nov 25, 2025",$139.50,$6.50,,,Fixed price,,2
"2023-S Reverse Proof $1 Morgan and Peace Silver Dollar 2pc Set Box ,OGP, 23XS",277663709130,"Jan 22, 2026",$227.00,$0.00,,,Fixed price,https://www.ebay.com/itm/277663709130,2
"2023 Morgan And Peace Dollar Reverse Proof Two-coin Set OGP/COA ""23XS""",277755099549,"Feb 27, 2026",$218.99,$0.00,,,Fixed price,https://www.ebay.com/itm/277755099549,2
2023-S MORGAN & PEACE DOLLAR Two-Coin Reverse Proof Set (23XS),286173356371,"Jan 26, 2026",$222.45,$0.00,,,Fixed price,https://www.ebay.com/itm/286173356371,2
,,"Oct 21, 2025",$68.16,$9.90,,,Fixed price,,2
,,"Dec 16, 2025",$174.99,$0.00,,,Fixed price,,2
2023-S MORGAN & PEACE DOLLAR Two-Coin Reverse Proof Set,296829084434,"Jan 17, 2026",$229.00,$0.00,,,Fixed price,https://www.ebay.com/itm/296829084434,2
2023 s reverse proof peace silver dollar ngc rp 70 first day of issue trolley,315159561839,"Mar 18, 2026",$199.25,$0.00,,,Fixed price,https://www.ebay.com/itm/315159561839,2
"2023-S Reverse Proof $1 Morgan and Peace Silver Dollar 2pc Set Box ,OGP",326959017827,"Jan 17, 2026",$199.00,$5.17,,,Fixed price,https://www.ebay.com/itm/326959017827,2
2023 Morgan and Peace Silver Dollar Reverse Proof Two-Coin Set - In Hand,335118120055,"Feb 18, 2026",$235.00,$0.00,,,Fixed price,https://www.ebay.com/itm/335118120055,2
2023 S $1 Morgan Silver Dollar NGC Reverse PF69 *,335564594730,"Jan 15, 2026",$100.00,$0.00,,,Fixed price,https://www.ebay.com/itm/335564594730,2
,,"Dec 7, 2025",$180.38,$0.00,,,Fixed price,,2
,,"Nov 14, 2025",$180.00,$0.00,,,Fixed price,,2
"2023-S Morgan and Peace Silver Dollar 2pc Reverse Proof Set Box ,OGP & COA",336396654249,"Jan 21, 2026",$199.00,$6.51,,,Fixed price,https://www.ebay.com/itm/336396654249,2
2023-S Morgan and Peace Silver Dollar Reverse Proof Set with Box and COA,336410370266,"Jan 29, 2026",$237.00,$0.00,,,Fixed price,https://www.ebay.com/itm/336410370266,2
2023-S Morgan & Peace Silver Dollar Reverse Proof 2pc Set OGP COA .999 Silver,336523222058,"Apr 12, 2026",$195.00,$0.00,,,Fixed price,https://www.ebay.com/itm/336523222058,2
2023-S Reverse Proof Silver Morgan/Peace Dollar PCGS PR70 First Strike Cleveland,355497757731,"Jan 22, 2026",$359.40,$0.00,,,Fixed price,https://www.ebay.com/itm/355497757731,5
,,"Dec 3, 2025",$405.00,$12.00,,,Fixed price,,2
,,"Nov 12, 2025",$420.00,$4.76,,,Fixed price,,2
,,"Jan 10, 2026",$307.50,$5.32,,,Fixed price,,2
