Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Nov 16, 2025",$82.00,$0.00,,,Auction,,1
,,"Nov 14, 2025",$510.00,$0.00,,,Fixed price,,1
,,"Nov 19, 2025",$81.00,$3.50,,,Auction,,1
,,"Nov 23, 2025",$140.00,$7.25,,,Fixed price,,1
,,"Nov 17, 2025",$48.00,$4.65,,,Auction,,1
,,"Dec 3, 2025",$214.00,$8.00,,,Fixed price,,1
,,"Nov 28, 2025",$495.00,$0.00,,,Fixed price,,1
,,"Dec 10, 2025",$95.00,$3.50,,,Auction,,1
,,"Dec 4, 2025",$400.00,$0.00,,,Auction,,1
,,"Dec 15, 2025",$286.90,$7.50,,,Auction,,1
,,"Dec 22, 2025",$75.00,$7.50,,,Fixed price,,1
,,"Jan 8, 2026",$440.00,$0.00,,,Fixed price,,1
,,"Dec 30, 2025",$485.01,$6.50,,,Auction,,1
,,"Dec 28, 2025",$269.00,$7.50,,,Fixed price,,1
,,"Jan 4, 2026",$52.00,$4.50,,,Fixed price,,1
,,"Jan 3, 2026",$100.00,$8.40,,,Fixed price,,1
01/000019 L#4733 1888 S Morgan Silver Dollar Coin,157618715030,"Jan 19, 2026",$290.00,$0.00,,,Auction,https://www.ebay.com/itm/157618715030,1
1888-S Morgan Silver Dollar $1 AU Details Tough Date,157622478411,"Jan 20, 2026",$175.00,$7.95,,,Fixed price,https://www.ebay.com/itm/157622478411,1
1888-S Morgan Silver Dollar $1 NGC AU50 Better Date,157626820275,"Jan 25, 2026",$187.00,$8.10,,,Fixed price,https://www.ebay.com/itm/157626820275,1
1888-S Morgan Silver Dollar AU 55 PCGS Golds Hield,157642655584,"Feb 3, 2026",$240.00,$5.95,,,Fixed price,https://www.ebay.com/itm/157642655584,1
❤️1888 S Morgan Dollar VF Very Fine Details Silver $1 Coin (2303),157643804864,"Feb 8, 2026",$152.99,$7.95,,,Fixed price,https://www.ebay.com/itm/157643804864,1
1888-S MORGAN DOLLAR NICE HIGH GRADE COIN TOUGH DATE,157653682210,"Feb 16, 2026",$299.95,$6.95,,,Fixed price,https://www.ebay.com/itm/157653682210,1
1888 S Morgan Silver Dollar PCGS FR-2 Low Ball,157655076336,"Feb 15, 2026",$137.30,$0.00,,,Fixed price,https://www.ebay.com/itm/157655076336,1
"LOT OF 3 MORGAN SILVER DOLLARS 1892-S, 1888, 1921 Circulated ￼",157655535233,"Feb 5, 2026",$193.50,$5.75,,,Auction,https://www.ebay.com/itm/157655535233,1
1888 S MORGAN SILVER DOLLAR HI GRADE GENUINE U.S. MINT RARE COIN,157676171535,"Feb 18, 2026",$125.00,$4.85,,,Auction,https://www.ebay.com/itm/157676171535,1
1888-S Morgan Silver Dollar XF Tougher San Francisco Issue,157683403896,"Feb 15, 2026",$140.00,$8.30,,,Fixed price,https://www.ebay.com/itm/157683403896,1
1888-S MORGAN SILVER DOLLAR AU DETAILS TOUGH DATE SAN FRANCISCO MINT,157687835160,"Feb 19, 2026",$162.00,$7.70,,,Fixed price,https://www.ebay.com/itm/157687835160,1
1888-S Morgan Silver Dollar NGC XF45 Tougher San Francisco Mint,157692173218,"Feb 23, 2026",$203.00,$7.95,,,Fixed price,https://www.ebay.com/itm/157692173218,1
1888-O Morgan Silver Dollar PCGS MS63 S$1 New Orleans Minted No Reserve,157693128908,"Mar 1, 2026",$103.50,$0.00,,,Auction,https://www.ebay.com/itm/157693128908,1
1888-S MORGAN SILVER DOLLAR XF/AU DETAILS TOUGH DATE SAN FRANCISCO MINT,157701400820,"Feb 27, 2026",$149.00,$7.55,,,Fixed price,https://www.ebay.com/itm/157701400820,1
1888-S Morgan Silver Dollar AU/BU Tough Date San Francisco Mint,157704215430,"Mar 2, 2026",$228.50,$4.75,,,Auction,https://www.ebay.com/itm/157704215430,1
"Lot of 3 Morgan Silver Dollars, 90% silver, 1881, 1881-S, 1888-O",157713430946,"Mar 15, 2026",$200.00,$5.77,,,Fixed price,https://www.ebay.com/itm/157713430946,1
03/00000001 L#1824 1888 S Morgan Silver Dollar (cop),157716589010,"Mar 1, 2026",$300.00,$0.00,,,Auction,https://www.ebay.com/itm/157716589010,1
1888-S Morgan Silver Dollar Coin Nice Lustrous Gem BU UNC Tough Date,157720896969,"Mar 8, 2026",$350.00,$8.75,,,Fixed price,https://www.ebay.com/itm/157720896969,1
1888 *S* Morgan Silver Dollar PCGS MS63PL RATTLER FREE SHIPPING! G2011,157722696353,"Mar 3, 2026","$1,400.00",$0.00,,,Fixed price,https://www.ebay.com/itm/157722696353,1
1888 s $1 Morgan Silver Dollar,157725475229,"Mar 8, 2026",$120.00,$5.00,,,Fixed price,https://www.ebay.com/itm/157725475229,1
1888 Morgan Silver Dollar NGC MS63 S$1 Philadelphia Minted No Reserve,157725530765,"Mar 11, 2026",$89.00,$3.50,,,Auction,https://www.ebay.com/itm/157725530765,1
1888-S MORGAN SILVER DOLLAR AU DETAILS TOUGH DATE SAN FRANCISCO MINT,157731849380,"Mar 7, 2026",$155.00,$7.70,,,Fixed price,https://www.ebay.com/itm/157731849380,1
1888-S MORGAN SILVER DOLLAR XF TOUGH DATE SAN FRANCISCO MINT,157734200770,"Mar 13, 2026",$144.00,$7.70,,,Fixed price,https://www.ebay.com/itm/157734200770,1
1888 Morgan Silver Dollar PCGS MS64 S$1 Philadelphia Minted No Reserve,157737550858,"Mar 18, 2026",$118.50,$0.00,,,Auction,https://www.ebay.com/itm/157737550858,1
1888 S MORGAN SILVER DOLLAR F TOUGH DATE SAN FRANCISCO MINT,157744020855,"Mar 19, 2026",$135.00,$7.70,,,Fixed price,https://www.ebay.com/itm/157744020855,1
1888-O Morgan Silver Dollar PCGS MS63 S$1 New Orleans Minted No Reserve,157769296843,"Mar 29, 2026",$89.00,$3.50,,,Auction,https://www.ebay.com/itm/157769296843,1
03/00000020 L#3440 1888 S Morgan Silver Dollar Coin (bwp),157770394585,"Mar 20, 2026",$304.00,$0.00,,,Auction,https://www.ebay.com/itm/157770394585,1
1888 S Morgan Silver Dollar PCGS XF40,157774046431,"Apr 8, 2026",$206.49,$5.77,,,Fixed price,https://www.ebay.com/itm/157774046431,1
03/00000026 L#7052 1888 S Morgan Silver Dollar Coin (bsp),157784671634,"Mar 26, 2026",$240.00,$0.00,,,Auction,https://www.ebay.com/itm/157784671634,1
1888 S MORGAN SILVER DOLLAR VF TOUGH DATE SAN FRANCISCO MINT,157796604664,"Apr 2, 2026",$135.00,$4.83,,,Fixed price,https://www.ebay.com/itm/157796604664,1
1888-O Morgan Silver Dollar PCGS MS64 S$1 New Orleans Minted No Reserve,157804356886,"Apr 12, 2026",$136.50,$0.00,,,Auction,https://www.ebay.com/itm/157804356886,1
1888 Morgan Silver Dollar PCGS MS64 S$1 Philadelphia Minted No Reserve,157804890777,"Apr 12, 2026",$99.00,$0.00,,,Auction,https://www.ebay.com/itm/157804890777,1
1888 S Morgan Silver Dollar PCGS AU-58,167527065156,"Feb 15, 2026",$395.00,$0.00,,,Fixed price,https://www.ebay.com/itm/167527065156,1
,,"Jan 2, 2026",$225.00,$0.00,,,Fixed price,,1
,,"Dec 31, 2025",$200.00,$0.00,,,Fixed price,,1
,,"Nov 5, 2025",$535.00,$5.00,,,Fixed price,,1
,,"Nov 3, 2025",$131.35,$0.00,,,Fixed price,,1
,,"Nov 29, 2025",$55.00,$3.95,,,Fixed price,,1
[Removed] Item 167855995581,167855995581,"Nov 23, 2025",$19.99,$0.00,,,Fixed price,,1
,,"Nov 18, 2025",$425.00,$0.00,,,Fixed price,,1
,,"Nov 13, 2025",$139.95,$0.00,,,Fixed price,,1
,,"Oct 17, 2025",$135.00,$6.19,,,Fixed price,,1
