Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
,,"Feb 2, 2026",$700.00,$8.75,,,Auction,,1
,,"Feb 1, 2026",$427.22,$5.07,,,Auction,,1
,,"Jan 29, 2026",$630.00,$0.00,,,Fixed price,,1
,,"Jan 29, 2026",$579.00,$4.95,,,Auction,,1
,,"Jan 28, 2026",$467.00,$6.07,,,Auction,,1
,,"Jan 25, 2026","$1,050.00",$0.00,,,Fixed price,,1
,,"Jan 20, 2026","$1,885.75",$0.00,,,Fixed price,,1
,,"Jan 15, 2026",$55.87,$0.00,,,Fixed price,,3
,,"Jan 14, 2026",$28.99,$0.00,,,Fixed price,,1
,,"Jan 14, 2026",$525.00,$9.45,,,Fixed price,,1
,,"Jan 6, 2026",$500.00,$4.54,,,Auction,,1
,,"Jan 5, 2026",$441.59,$0.00,,,Fixed price,,1
,,"Jan 2, 2026",$484.49,$0.00,,,Fixed price,,1
,,"Dec 29, 2025",$48.00,$4.65,,,Fixed price,,1
1896-S Barber Quarter AG-3 NGC,127232404915,"Dec 28, 2025",$502.66,$0.00,,,Fixed price,https://www.ebay.com/itm/127232404915,1
,,"Dec 19, 2025",$685.00,$4.95,,,Auction,,1
,,"Dec 16, 2025",$695.00,$0.00,,,Fixed price,,1
,,"Dec 16, 2025",$61.00,$5.99,,,Fixed price,,1
,,"Dec 10, 2025",$250.00,$5.00,,,Fixed price,,1
,,"Dec 6, 2025","$1,920.00",$7.20,,,Fixed price,,1
,,"Nov 24, 2025",$831.25,$16.99,,,Fixed price,,1
,,"Nov 23, 2025",$976.00,$0.00,,,Auction,,1
