Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *1719,127727447842,"Mar 15, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/127727447842,1
RARE 1982 KEY DATE LIBERTAD UNC MEXICO 1 ONZA OZ PLATA PURA SILVER 999,127758013328,"Mar 26, 2026",$89.88,$8.00,,,Auction,https://www.ebay.com/itm/127758013328,1
,,"Oct 18, 2025",$65.00,$0.00,,,Fixed price,,1
,,"Dec 9, 2025",$62.00,$4.87,,,Fixed price,,1
Beautiful 1982 Mexico 1 oz Silver Libertad – Stunning Rare Blue Tone –,136837693479,"Jan 23, 2026",$205.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136837693479,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *3213,136933037435,"Jan 15, 2026",$112.49,$0.00,,,Auction,https://www.ebay.com/itm/136933037435,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *5796,136940115314,"Jan 18, 2026",$107.50,$0.00,,,Auction,https://www.ebay.com/itm/136940115314,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *7252,136940230344,"Jan 18, 2026",$100.00,$0.00,,,Auction,https://www.ebay.com/itm/136940230344,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *4576,136940316755,"Jan 18, 2026",$109.00,$0.00,,,Auction,https://www.ebay.com/itm/136940316755,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *3436,136940522518,"Jan 18, 2026",$109.10,$0.00,,,Auction,https://www.ebay.com/itm/136940522518,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *6216,136942818568,"Jan 19, 2026",$115.50,$0.00,,,Auction,https://www.ebay.com/itm/136942818568,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *5897,136943347885,"Jan 19, 2026",$111.50,$0.00,,,Auction,https://www.ebay.com/itm/136943347885,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *9974,136946169129,"Jan 20, 2026",$112.50,$0.00,,,Auction,https://www.ebay.com/itm/136946169129,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *6845,136946483325,"Jan 20, 2026",$147.50,$0.00,,,Auction,https://www.ebay.com/itm/136946483325,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *9963,136949756809,"Jan 21, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/136949756809,1
1982 Mexico 1 oz Silver Libertad – Light Rim Toning – Pure .999 1oz Silver,136950337353,"Jan 29, 2026",$162.40,$0.00,,,Fixed price,https://www.ebay.com/itm/136950337353,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver Beautiful,136956172605,"Jan 23, 2026",$117.50,$4.95,,,Auction,https://www.ebay.com/itm/136956172605,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *5161,136958111192,"Jan 24, 2026",$121.50,$0.00,,,Auction,https://www.ebay.com/itm/136958111192,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *4604,136958474806,"Jan 24, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/136958474806,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver Beautiful,136960828318,"Jan 27, 2026",$130.00,$4.95,,,Fixed price,https://www.ebay.com/itm/136960828318,1
1982 1oz .999 Fine Silver Mexican Libertad,136962728810,"Jan 21, 2026",$110.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136962728810,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *3948,136963121455,"Jan 26, 2026",$132.50,$0.00,,,Auction,https://www.ebay.com/itm/136963121455,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *5103,136966429495,"Jan 27, 2026",$120.00,$0.00,,,Auction,https://www.ebay.com/itm/136966429495,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *2567,136966576749,"Jan 27, 2026",$122.50,$0.00,,,Auction,https://www.ebay.com/itm/136966576749,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *3794,136970322993,"Jan 28, 2026",$132.00,$0.00,,,Auction,https://www.ebay.com/itm/136970322993,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *5554,136983586253,"Feb 1, 2026",$120.00,$0.00,,,Auction,https://www.ebay.com/itm/136983586253,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *0018,136983932862,"Feb 1, 2026",$117.50,$0.00,,,Auction,https://www.ebay.com/itm/136983932862,1
1982 Mexico 1 oz Silver Libertad BU,136984241628,"Jan 31, 2026",$119.50,$0.00,,,Auction,https://www.ebay.com/itm/136984241628,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *6661,136986898276,"Feb 2, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/136986898276,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *7460,136993815393,"Feb 4, 2026",$117.50,$0.00,,,Auction,https://www.ebay.com/itm/136993815393,1
1982 Mexico 1 oz Onza Silver Libertad BU .999 Pure 1st Year Mintage *Free ship*,136994326922,"Jan 29, 2026",$120.00,$0.00,,,Fixed price,https://www.ebay.com/itm/136994326922,1
1982 Mexico 1 oz Silver Libertad BU,136996181637,"Feb 7, 2026",$106.00,$0.00,,,Auction,https://www.ebay.com/itm/136996181637,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *6149,136997176979,"Feb 5, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/136997176979,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *9078,136997198115,"Feb 5, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/136997198115,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *3018,137011576542,"Feb 10, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/137011576542,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *0790,137011871778,"Feb 10, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/137011871778,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *0586,137031469319,"Feb 16, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/137031469319,1
1982 Mexico Mexican Libertad 1 Oz (Onza) .999 Fine Silver,137043441189,"Feb 17, 2026",$92.99,$5.07,,,Fixed price,https://www.ebay.com/itm/137043441189,1
1982 Mo Mexico Libertad 1oz .999 Fine Silver Coin,137052353773,"Feb 21, 2026",$114.95,$0.00,,,Fixed price,https://www.ebay.com/itm/137052353773,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *9160,137069636537,"Mar 3, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/137069636537,1
1982 Mexico 1 Onza Libertad .999 1 Oz Silver *2677,137095475924,"Mar 11, 2026",$114.95,$0.00,,,Auction,https://www.ebay.com/itm/137095475924,1
1982 1 Onza Mexican Libertad .999 Silver Coin - First Year of Issue GEM BU,137191947101,"Apr 5, 2026",$100.00,$9.00,,,Fixed price,https://www.ebay.com/itm/137191947101,1
1982 Libertad Roll Of 20 Coins - ONZA 1 oz - Blanchard - Brilliant Uncirculated,137215532531,"Apr 12, 2026","$2,125.00",$12.95,,,Fixed price,https://www.ebay.com/itm/137215532531,1
1982 Mexico Libertad 1 Oz Silver PCGS MS66 Rainbow Toned Trueview,146658962464,"Mar 13, 2026",$750.00,$12.00,,,Fixed price,https://www.ebay.com/itm/146658962464,1
1982 Mexico 1 Oz Toned Silver Libertad Onza NGC,146799656778,"Jan 23, 2026",$140.00,$26.32,,,Fixed price,https://www.ebay.com/itm/146799656778,1
1982 Mexico 1 Oz Silver Libertad End Roll Toning High Grade,146799682828,"Jan 30, 2026",$195.00,$5.29,,,Fixed price,https://www.ebay.com/itm/146799682828,1
1982 Mexico 1 Oz Silver Libertad High Grade Onza,146799692386,"Feb 1, 2026",$185.00,$5.29,,,Fixed price,https://www.ebay.com/itm/146799692386,1
,,"Dec 30, 2025",$175.00,$5.24,,,Fixed price,,1
,,"Jan 6, 2026",$160.00,$4.99,,,Fixed price,,1
,,"Jan 8, 2026",$155.00,$4.87,,,Fixed price,,1
,,"Nov 22, 2025",$57.00,$8.40,,,Auction,,1
,,"Nov 27, 2025",$64.95,$0.00,,,Fixed price,,1
,,"Dec 3, 2025",$615.00,$0.00,,,Fixed price,,1
,,"Dec 19, 2025",$72.00,$4.95,,,Fixed price,,1
,,"Dec 18, 2025",$70.00,$4.91,,,Fixed price,,1
,,"Dec 19, 2025",$72.53,$4.58,,,Auction,,1
,,"Dec 28, 2025",$94.99,$0.00,,,Fixed price,,1
,,"Dec 29, 2025",$93.00,$4.87,,,Auction,,1
1982 Mo 1 oz .999 Silver Onza Mexico Libertad - NGC MS 66 High Grade,147123566602,"Feb 12, 2026",$170.00,$7.95,,,Fixed price,https://www.ebay.com/itm/147123566602,1
1982 Mexico 1oz Silver Libertad,147140039772,"Feb 15, 2026",$95.00,$0.00,,,Auction,https://www.ebay.com/itm/147140039772,1
1982-Mo Mexico Silver Libertad Onza PCGS MS66 Long Beach Expo Plata - Q417,147147602978,"Feb 14, 2026",$159.00,$5.57,,,Fixed price,https://www.ebay.com/itm/147147602978,1
1982 Mo Mexico Libertad 1oz .999 Fine Silver Coin,147162223952,"Feb 21, 2026",$114.95,$0.00,,,Fixed price,https://www.ebay.com/itm/147162223952,1
