Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1896-S MORGAN SILVER DOLLAR ✪ LOW MINTAGE COIN ✪ NICE GRADE ✪ 90% SILVER COIN,188113557418,"Mar 15, 2026",$78.00,$2.54,,,Auction,https://www.ebay.com/itm/188113557418
* 1896-S CAMEO * NEAR+ GEM BU MS MORGAN SILVER DOLLAR * FROM COLLECTION,157735438990,"Mar 15, 2026","$1,235.00",$11.99,,,Auction,https://www.ebay.com/itm/157735438990,1
1896 S Morgan Silver Dollar,125976205439,"Mar 14, 2026",$98.50,$7.45,,,Fixed price,https://www.ebay.com/itm/125976205439
1896-S Morgan Silver Dollar - Damaged ~ Must have an Interesting Story!,188162328068,"Mar 14, 2026",$62.00,$5.07,,,Fixed price,https://www.ebay.com/itm/188162328068
,,"Mar 14, 2026",$98.50,$7.45,,,Fixed price,,1
1896-S Morgan Silver Dollar (cn16144),117028709503,"Mar 13, 2026",$85.00,$4.00,,,Fixed price,https://www.ebay.com/itm/117028709503
1896-S Morgan Silver Dollar PCGS F15 DIPT,137045925877,"Mar 13, 2026",$223.39,$0.00,,,Fixed price,https://www.ebay.com/itm/137045925877
,,"Mar 13, 2026",$85.00,$4.00,,,Fixed price,,1
"1896 S Morgan Silver Dollar, Scarce Semi-KEY Date $1 Coin",198147745736,"Mar 11, 2026",$69.00,$3.95,,,Auction,https://www.ebay.com/itm/198147745736
1896 S Morgan Dollar NGC VF 25,117065076369,"Mar 10, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117065076369
1896 S Morgan Dollar 1$ Better Grade #98413,188018740798,"Mar 10, 2026",$89.99,$0.00,,,Fixed price,https://www.ebay.com/itm/188018740798
1896-S $1 Morgan Dollar Semi-Key Date 90% Silver US Coin San Fransisco Mint,188092068959,"Mar 10, 2026",$65.00,$5.00,,,Auction,https://www.ebay.com/itm/188092068959
,,"Mar 10, 2026",$175.00,$0.00,,,Fixed price,,1
1896 S San Francisco Morgan Silver Dollar $1 BETTER DATE 90% Coin VF,127256489651,"Mar 9, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127256489651
1896-S Morgan Silver One $1 Dollar - San Francisco R1380,127361183987,"Mar 9, 2026",$300.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127361183987
1896 S MORGAN SILVER DOLLAR F DETAILS SAN FRANCISCO MINT COIN,127651539683,"Mar 9, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127651539683
1896 S MORGAN 90% SILVER DOLLAR,137104316098,"Mar 9, 2026",$80.00,$6.99,,,Auction,https://www.ebay.com/itm/137104316098
1896 S Morgan Silver Dollar,147185002229,"Mar 9, 2026",$71.99,$6.49,,,Auction,https://www.ebay.com/itm/147185002229
1896-S Morgan Silver Dollar $1 - Certified PCGS AU53 - Rare Date Coin!,177866416170,"Mar 9, 2026","$1,486.75",$0.00,,,Fixed price,https://www.ebay.com/itm/177866416170
1896-S Morgan Silver Dollar . Circulated Pieces Are Scarce not Rare!,188112991975,"Mar 9, 2026",$85.00,$5.21,,,Auction,https://www.ebay.com/itm/188112991975
1896-S Morgan Silver Dollar - San Francisco - 90% Silver - VF Details - Cleaned,127715245984,"Mar 9, 2026",$79.00,$0.00,,,Auction,https://www.ebay.com/itm/127715245984,1
,,"Mar 9, 2026",$125.00,$0.00,,,Fixed price,,1
,,"Mar 9, 2026",$300.00,$0.00,,,Fixed price,,1
,,"Mar 9, 2026",$95.00,$0.00,,,Fixed price,,1
1896-S Morgan Dollar VF 30 ANACS Take a Look,127716420130,"Mar 8, 2026",$171.00,$5.00,,,Auction,https://www.ebay.com/itm/127716420130
1896 O Morgan Silver One Dollar S$1 Coin,177899484111,"Mar 8, 2026",$85.00,$0.00,,,Auction,https://www.ebay.com/itm/177899484111
"Morgan Silver Dollar, 1896–S , ICG Certified, F15",117063074543,"Mar 7, 2026",$94.77,$4.99,,,Auction,https://www.ebay.com/itm/117063074543
,,"Mar 7, 2026",$94.77,$4.99,,,Auction,,1
