Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
UNC./MS DETAIL 1885-O MORGAN SILVER DOLLAR BEAUTIFUL COLLECTORS COIN M-1300,177672139720,"Jan 29, 2026",$88.50,$3.93,,,Fixed price,https://www.ebay.com/itm/177672139720,2
VF+ DETAIL 1885 MORGAN SILVER DOLLAR BEAUTIFUL COLLECTORS COIN M-1428,177796766751,"Feb 21, 2026",$84.50,$5.25,,,Fixed price,https://www.ebay.com/itm/177796766751,2
[Removed] Item 197747635122,197747635122,"Oct 23, 2025",$22.58,$0.00,,,Fixed price,,5
1885 O Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,198077474043,"Mar 28, 2026",$133.56,$0.00,,,Fixed price,https://www.ebay.com/itm/198077474043,2
1885-O Morgan Silver Dollar PCGS MS 63,198141622084,"Feb 28, 2026",$109.95,$0.00,,,Fixed price,https://www.ebay.com/itm/198141622084,2
,,"Oct 27, 2025",$31.99,$5.00,,,Fixed price,,2
1885-P Morgan Silver Dollar Absolutely Super Nice Detail 7 Tell Feathers 246,235794763848,"Mar 18, 2026",$110.86,$4.99,,,Fixed price,https://www.ebay.com/itm/235794763848,2
1885-O Morgan Silver Dollar Absolutely Super Fine Detail 7 Tail Feathers 177,235794763877,"Mar 2, 2026",$86.93,$4.99,,,Fixed price,https://www.ebay.com/itm/235794763877,2
,,"Nov 20, 2025",$44.33,$5.02,,,Fixed price,,3
1885-O U.S. $1 Morgan Silver Dollar NGC MS63,257321683510,"Jan 21, 2026",$89.00,$5.00,,,Fixed price,https://www.ebay.com/itm/257321683510,2
"1885-P MORGAN DOLLAR, CHOICE BRILLIANT UNCIRCULATED, GREAT PRICE!",262628915911,"Jan 14, 2026",$65.95,$0.00,,,Fixed price,https://www.ebay.com/itm/262628915911,4
1885 MORGAN SILVER DOLLAR ~ ~ CHOICE BU MS UNCIRCULATED ~ FRESH FROM ROLL,266506774356,"Jan 10, 2026",$93.28,$0.00,,,Fixed price,https://www.ebay.com/itm/266506774356,3
1885 O Morgan Silver Dollar PCGS MS 63 McClaren Collection II Pedigree,267580942787,"Feb 28, 2026",$98.00,$5.00,,,Fixed price,https://www.ebay.com/itm/267580942787,3
Frosty Brilliant uncirculated BU 1885 P Morgan silver $1 Dollar,276779593712,"Jan 26, 2026",$80.00,$5.04,,,Fixed price,https://www.ebay.com/itm/276779593712,2
[Removed] Item 286861092357,286861092357,"Oct 16, 2025",$21.78,$0.00,,,Fixed price,,2
[Removed] Item 286879450870,286879450870,"Oct 16, 2025",$29.99,$4.99,,,Fixed price,,2
[Removed] Item 286923302122,286923302122,"Nov 30, 2025",$19.99,$0.00,,,Fixed price,,2
1885-O CHOICE to GEM BU MS MORGAN SILVER DOLLAR ~ FROM ORIGINAL BANK BAG! ~ LOT,287002251384,"Feb 4, 2026",$142.48,$0.00,,,Fixed price,https://www.ebay.com/itm/287002251384,2
1885-O $1 Morgan Silver Dollar CAC MS 63 | Uncirculated UNC,305302333025,"Jan 25, 2026",$102.95,$0.00,,,Fixed price,https://www.ebay.com/itm/305302333025,2
BLACK BOX REPRINTS GSA COA's (6) 1880 thru 1885-CC FOR MORGAN SILVER DOLLARS,324194982997,"Dec 20, 2025",$5.65,$0.70,,,Fixed price,https://www.ebay.com/itm/324194982997,2
1885 MORGAN DOLLAR BU,336280806955,"Jan 20, 2026",$74.99,$0.00,,,Fixed price,https://www.ebay.com/itm/336280806955,2
,,"Nov 26, 2025",$25.00,$0.00,,,Fixed price,,2
[Removed] Item 357729068004,357729068004,"Oct 27, 2025",$23.56,$0.00,,,Fixed price,,2
[Removed] Item 357948654621,357948654621,"Dec 1, 2025",$21.60,$0.00,,,Fixed price,,2
1885-O Morgan Silver Dollar MS64 PCGS Blue Label,365095192302,"Dec 17, 2025",$94.98,$0.00,,,Fixed price,https://www.ebay.com/itm/365095192302,2
1885 Morgan Silver Dollar MS63 ICG,365384390655,"Dec 11, 2025",$79.95,$0.00,,,Fixed price,https://www.ebay.com/itm/365384390655,2
XF 1885-S Morgan Silver Dollar (1 coin),365631495919,"Jan 24, 2026",$87.48,$0.00,,,Fixed price,https://www.ebay.com/itm/365631495919,2
XF 1885-O Morgan Silver Dollar (1 coin),366125078395,"Feb 6, 2026",$99.95,$0.00,,,Fixed price,https://www.ebay.com/itm/366125078395,2
1885-O PCGS MS-63 Morgan Silver Dollar .90 fine silver,366150846978,"Jan 25, 2026",$81.50,$0.00,,,Fixed price,https://www.ebay.com/itm/366150846978,2
Morgan Silver Dollar 1885 O Pcgs Graded MS 63 Uncirculated $1 Coin,376100812810,"Dec 22, 2025",$87.75,$8.40,,,Fixed price,https://www.ebay.com/itm/376100812810,2
,,"Jan 7, 2026",$8.65,$2.25,,,Fixed price,,3
1885-P Morgan Silver Dollar PCGS MS64 Blast White Strong Strike - STOCK,377020720191,"Apr 9, 2026",$133.00,$0.00,,,Fixed price,https://www.ebay.com/itm/377020720191,2
1885 Morgan O Dollar - BU -Uncirculated -From MY Roll,387827932771,"Jan 26, 2026",$78.19,$6.49,,,Fixed price,https://www.ebay.com/itm/387827932771,4
1885 Morgan Silver Dollar NGC MS63 $1,389306308560,"Jan 18, 2026",$89.95,$0.00,,,Fixed price,https://www.ebay.com/itm/389306308560,5
,,"Dec 9, 2025",$60.00,$18.31,,,Fixed price,,2
