Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
Early - 1896-O Morgan Silver Dollar - 90% US Coin *499,127663653250,"Feb 8, 2026",$69.01,$0.00,,,Auction,https://www.ebay.com/itm/127663653250,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *385,127663693978,"Feb 8, 2026",$69.01,$0.00,,,Auction,https://www.ebay.com/itm/127663693978,1
Better 1896-O Morgan Silver Dollar - 90% US Coin - Nice Coin *733,127665901916,"Feb 9, 2026",$71.00,$0.00,,,Auction,https://www.ebay.com/itm/127665901916,1
US Coin 1896 O Morgan Silver Dollar NO RESERVE!,127669649357,"Feb 11, 2026",$86.00,$1.00,,,Auction,https://www.ebay.com/itm/127669649357,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *346,127670226879,"Feb 11, 2026",$72.00,$0.00,,,Auction,https://www.ebay.com/itm/127670226879,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *516,127673917824,"Feb 13, 2026",$70.00,$0.00,,,Auction,https://www.ebay.com/itm/127673917824,1
1896-O Morgan Silver Dollar AU Details,127676098190,"Mar 27, 2026",$175.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127676098190,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *200,127683154301,"Feb 18, 2026",$78.00,$0.00,,,Auction,https://www.ebay.com/itm/127683154301,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *156,127685345570,"Feb 19, 2026",$70.00,$0.00,,,Auction,https://www.ebay.com/itm/127685345570,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *468,127689021000,"Feb 21, 2026",$71.00,$0.00,,,Auction,https://www.ebay.com/itm/127689021000,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *505,127690551554,"Feb 22, 2026",$56.88,$0.00,,,Auction,https://www.ebay.com/itm/127690551554,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *338,127690793952,"Feb 22, 2026",$68.00,$0.00,,,Auction,https://www.ebay.com/itm/127690793952,1
1896 O Morgan Silver Dollar,127697501506,"Feb 28, 2026",$67.00,$5.29,,,Auction,https://www.ebay.com/itm/127697501506,1
"3 Junk Silver Morgan Dollars 1896-0, 1900-O, 1879-S",127697880213,"Feb 28, 2026",$189.50,$7.95,,,Auction,https://www.ebay.com/itm/127697880213,1
"lot of 5 Morgan silver dollars, 1882, 1883 O, 1890, 1896 O, 1899 O",127702979839,"Mar 1, 2026",$335.00,$5.95,,,Auction,https://www.ebay.com/itm/127702979839,1
1896-O AU Morgan Silver Dollar $1 New Orleans,127703791645,"Mar 11, 2026",$119.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127703791645,1
Early - 1896-O Morgan Silver Dollar - 90% US Coin *752,127707323333,"Mar 3, 2026",$67.00,$0.00,,,Auction,https://www.ebay.com/itm/127707323333,1
