Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2018-Mo Mexico 1/10 oz Silver Proof Libertad PCGS PR 70 DCAM,304364539873,"Mar 8, 2026",$82.95,$0.00,,,Fixed price,https://www.ebay.com/itm/304364539873
2023-Mo Mexico 1/10 oz Silver Libertad PCGS MS 70 | Uncirculated UNC BU,305614449971,"Mar 8, 2026",$54.95,$0.00,,,Fixed price,https://www.ebay.com/itm/305614449971
2019 Mexico Onza / Libertad BU 1/10 oz .999 Silver RARE,389156476147,"Mar 7, 2026",$28.95,$0.00,,,Fixed price,https://www.ebay.com/itm/389156476147
1/10 Oz Silver MEXICAN LIBERTAD 2020 Coin.,137082950525,"Mar 7, 2026",$38.00,$5.20,,,Auction,https://www.ebay.com/itm/137082950525
2020 Mexico Libertad 1/10 oz. .999 Silver EXTREMELY LIMITED Capsuled Proof Coin,164733404997,"Mar 7, 2026",$62.07,$5.95,,,Fixed price,https://www.ebay.com/itm/164733404997
2019 Mexico Onza / Libertad BU 1/10 oz .999 Silver RARE,389156476147,"Mar 7, 2026",$25.12,$0.00,,,Fixed price,https://www.ebay.com/itm/389156476147
2018 Mexico Libertad – 1/10 oz Silver Proof – PCGS PR70 DCAM,117065094771,"Mar 6, 2026",$50.00,$0.00,,,Auction,https://www.ebay.com/itm/117065094771,1
LIBERTAD MEXICO 2020 Fractional Set 1/2 1/4 1/10 1/20 oz Proof SILVER COINS,143953723156,"Mar 6, 2026",$249.95,$25.00,,,Fixed price,https://www.ebay.com/itm/143953723156,1
2018 1/10 Oz Silver MEXICAN LIBERTAD BU Coin.,167914825451,"Mar 6, 2026",$37.00,$0.00,,,Fixed price,https://www.ebay.com/itm/167914825451,1
2018 Mexican Libertad .999 Fine BU Silver 1/10 Oz Coin,117062677095,"Mar 2, 2026",$25.00,$5.29,,,Fixed price,https://www.ebay.com/itm/117062677095,1
2003 Mexico Silver 1 Oz Proof PYRAMID MERIDA Rare Medal 10 Yr FED Commission,147172896270,"Mar 2, 2026",$124.00,$5.52,,,Auction,https://www.ebay.com/itm/147172896270,1
2017 Mo 1/10 oz Mexican Silver Libertad - Silver .999,257376939777,"Feb 27, 2026",$26.98,$0.00,,,Fixed price,https://www.ebay.com/itm/257376939777,2
2023 Mexico Proof Silver Libertad 5 Coin Set (1/20 1/10 1/4 1/2 & 1 oz) capsules,317780554555,"Feb 26, 2026",$299.99,$9.99,,,Fixed price,https://www.ebay.com/itm/317780554555,2
1994 Silver Libertad Mexico Coin 1/10oz .999 RARE Bullion Round,157705821581,"Feb 26, 2026",$37.94,$0.00,,,Fixed price,https://www.ebay.com/itm/157705821581,1
1994 Silver Libertad Mexico Coin 1/200oz .999 VERY RARE Bullion Round,157705832796,"Feb 26, 2026",$25.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157705832796,1
"Mexico 1 1/2 1/4 1/10 1/20 Oz, 5 Pcs .999 Silver Coin Set, 2024 Libertad Proof",306573932260,"Feb 24, 2026",$342.49,$4.98,,,Fixed price,https://www.ebay.com/itm/306573932260,2
2026 Mexico Libertad Tribute – 1/10 oz .999 Fine Silver Bu Lady of Independence,227217683597,"Feb 21, 2026",$34.99,$7.82,,,Fixed price,https://www.ebay.com/itm/227217683597,3
2024 Mexico 1/20th oz Silver Libertad Proof (In Capsule) New! Very Bright. Look,167911006756,"Feb 21, 2026",$28.35,$7.52,,,Fixed price,https://www.ebay.com/itm/167911006756,5
2017-Mo Mexico PCGS PR70DCAM 1/10 oz Proof Silver Libertad Only 148 Graded,315742152255,"Feb 20, 2026",$59.66,$4.99,,,Fixed price,https://www.ebay.com/itm/315742152255
2024 Mexico Libertad Silver 5-Coin Set 1oz 1/2 1/4 1/10 1/20 oz Banco de México,127659603020,"Feb 20, 2026",$325.00,$5.62,,,Fixed price,https://www.ebay.com/itm/127659603020,1
1993 Mexico 10.coins.1 oz .999 Silver Libertad BU Condition.,157687561591,"Feb 20, 2026","$1,290.00",$0.00,,,Fixed price,https://www.ebay.com/itm/157687561591,1
,,"Feb 20, 2026",$59.66,$4.99,,,Fixed price,,3
1993 Mo PCGS 1/10 Oz PCGS PR69DCAM MEXICO LIBERTAD #B51717,147150929467,"Feb 19, 2026",$117.50,$3.95,,,Auction,https://www.ebay.com/itm/147150929467,1
2024 Mo Mexico 1/10 Oz Onza Silver Libertad Proof,157678882845,"Feb 19, 2026",$39.99,$0.00,,,Fixed price,https://www.ebay.com/itm/157678882845,1
"2025 Mexico 1/10 oz Silver Libertad PF-70 NGC (ER, Coat of Arms)",127387714901,"Feb 18, 2026",$526.99,$0.00,,,Fixed price,https://www.ebay.com/itm/127387714901,2
"2025 Mexico 1/10 oz Silver Libertad PF-70 NGC (ER, Coat of Arms)",127387714901,"Feb 18, 2026",$539.84,$0.00,,,Fixed price,https://www.ebay.com/itm/127387714901,1
2018 1/10 Mexican Libertad .999 Silver,117030835431,"Feb 17, 2026",$19.99,$5.07,,,Auction,https://www.ebay.com/itm/117030835431,1
"2024 Bank of Mexico Silver Libertad 5 Coin Set, 1/20, 1/10, 1/4, 1/2, & 1 oz BU",406639606800,"Feb 15, 2026",$289.50,$0.00,,,Fixed price,https://www.ebay.com/itm/406639606800,2
,,"Feb 14, 2026",$259.95,$0.00,,,Fixed price,,3
2024 1/10 Oz .999 Silver Mo Mexico Libertad Proof 1/10th Onza Plata Pura Mexican,187413104552,"Feb 14, 2026",$28.00,$8.20,,,Fixed price,https://www.ebay.com/itm/187413104552,2
"1996 Mexico Libertad Victory Angel Set 1/20, 1/10, 1/4 Onza 999 Fine Silver Coin",137019716969,"Feb 13, 2026",$152.50,$12.37,,,Auction,https://www.ebay.com/itm/137019716969,1
1992 MEXICO SILVER LIBERTAD 1/10 ONZA NGC PF 69 ULTRA CAMEO SCARCE GEM 1/10 OZ,157646974227,"Feb 13, 2026",$119.95,$0.00,,,Fixed price,https://www.ebay.com/itm/157646974227,1
