Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1994 1oz Silver Mexican Libertad Coin PCGS MS68,227193511284,"Feb 4, 2026",$300.00,$0.00,,,Auction,https://www.ebay.com/itm/227193511284,1
1994 Mexico 1 oz Silver Libertad MS68 PCGS,277558124337,"Feb 4, 2026",$229.95,$0.00,,,Fixed price,https://www.ebay.com/itm/277558124337,1
,,"Feb 4, 2026",$300.00,$0.00,,,Auction,,1
"Libertad 1994, 99% silver",257332652026,"Feb 3, 2026",$122.50,$5.29,,,Auction,https://www.ebay.com/itm/257332652026,1
2× 1994 Mexico Silver Libertad – 1 oz Each – Better Date – .999 Silver,136983811786,"Feb 1, 2026",$242.50,$5.77,,,Auction,https://www.ebay.com/itm/136983811786
"1994 Mexico Silver 1ozt .999 Libertad ""UNC"" *Combined Shipping*",317798981111,"Feb 1, 2026",$132.50,$4.95,,,Auction,https://www.ebay.com/itm/317798981111,1
,,"Feb 1, 2026",$242.50,$5.77,,,Auction,,1
1994 Mexico Libertad 1/10 Onza Plata Pura 1/10 Oz .999 Fine Silver Coin BU,227187755803,"Jan 31, 2026",$62.52,$5.20,,,Auction,https://www.ebay.com/itm/227187755803,1
1994 Mo Mexico 1 Onza Libertad 1 oz. Silver Coin – NGC MS65,306732303853,"Jan 31, 2026",$127.50,$8.30,,,Auction,https://www.ebay.com/itm/306732303853,1
,,"Jan 31, 2026",$62.52,$5.20,,,Auction,,1
TWO 1994 Mexico 1 Onza Silver Libertad .999 Fine Silver Coins Plata Pura,257330407075,"Jan 29, 2026",$248.03,$5.00,,,Auction,https://www.ebay.com/itm/257330407075,1
,,"Jan 29, 2026",$248.03,$5.00,,,Auction,,1
,,"Jan 29, 2026",$177.50,$4.94,,,Auction,,1
1994 MEXICO MEXICAN 1 OZ SILVER ONZA LIBERTAD .999 FINE GEM BU,157642965407,"Jan 28, 2026",$129.99,$4.25,,,Fixed price,https://www.ebay.com/itm/157642965407
1994 1oz Silver Mexican Libertad Coin PCGS MS68,227184095623,"Jan 28, 2026",$256.00,$0.00,,,Auction,https://www.ebay.com/itm/227184095623,1
1994 1/2 Oz Ms 64 Libertad .999 Only 17 Higher Rare Mexican Silver,286770891891,"Jan 28, 2026",$155.00,$0.00,,,Fixed price,https://www.ebay.com/itm/286770891891,1
1994 Mo MEXICO 1 Onza Libertad Coin NGC - MS 66!,306734794779,"Jan 28, 2026",$147.24,$5.00,,,Fixed price,https://www.ebay.com/itm/306734794779,1
,,"Jan 28, 2026",$129.99,$4.25,,,Fixed price,,1
,,"Jan 28, 2026",$256.00,$0.00,,,Auction,,1
,,"Jan 28, 2026",$155.00,$0.00,,,Fixed price,,1
RARE 1994 Libertad Mexican Mint Vtg Littleton SHOW PAK Holder .999 Silver 1oz,206031279855,"Jan 27, 2026",$129.99,$4.99,,,Fixed price,https://www.ebay.com/itm/206031279855,1
1994 Mo Mexico 1 Onza Libertad 1 oz. Silver Coin – NGC MS65,306732305388,"Jan 27, 2026",$121.00,$8.10,,,Auction,https://www.ebay.com/itm/306732305388,1
,,"Jan 27, 2026",$129.99,$4.99,,,Fixed price,,1
