Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1878 to 1904 $1 Morgan Silver Dollar PCGS MS65 Random Year Toned,177070106589,"Mar 1, 2026",$188.49,$0.00,,,Fixed price,https://www.ebay.com/itm/177070106589,3
(1) Random Year 1878-1904 (MS64) Morgan Silver Dollar $1 PCGS Graded - Pre 1921,177134491139,"Jan 11, 2026",$93.56,$0.00,,,Fixed price,https://www.ebay.com/itm/177134491139,7
,,"Oct 16, 2025",$70.00,$4.80,,,Fixed price,,4
1878 - 1904 Morgan Silver dollars XF ( Random Years ) $1 Extremely Fine,187839095446,"Jan 30, 2026",$83.50,$0.00,,,Fixed price,https://www.ebay.com/itm/187839095446,4
,,"Dec 11, 2025",$84.79,$0.00,,,Fixed price,,8
Pre-1921 Morgan Silver Dollar Gem Brilliant Uncirculated BU Condition 1878-1904,197804843100,"Feb 12, 2026",$99.88,$0.00,,,Fixed price,https://www.ebay.com/itm/197804843100,3
US Morgan Silver Dollar - Roll of 20 coins - Cull to XF Details - Pre 1904,198028499200,"Jan 23, 2026","$1,591.43",$0.00,,,Fixed price,https://www.ebay.com/itm/198028499200,7
1878 - 1904 Random Common Date Morgan Silver Dollar $1 Coin BU UNC Uncirculated,198046920256,"Feb 25, 2026",$83.99,$0.00,,,Fixed price,https://www.ebay.com/itm/198046920256,3
1878 to 1904 $1 Morgan Silver Dollar NGC MS65 Random Year Toned,205440372015,"Mar 1, 2026",$183.34,$23.35,,,Fixed price,https://www.ebay.com/itm/205440372015,3
"1878-1904 Random Year Morgan Silver Dollar VG to VF, Lot of 1 (One) -#D5",227291135642,"Apr 12, 2026",$62.15,$0.00,,,Fixed price,https://www.ebay.com/itm/227291135642,6
(1) Morgan Dollar 1878-1904 Au-Bu Uncirculated From OBW Estate Roll 90% Silver,267022435676,"Jan 28, 2026",$122.56,$0.00,,,Fixed price,https://www.ebay.com/itm/267022435676,3
(1) Morgan Dollar 1878-1904 XF-AU From Estate Bullion Roll 90% Silver,267072752553,"Feb 1, 2026",$101.92,$0.00,,,Fixed price,https://www.ebay.com/itm/267072752553,4
"One Coin Cull 1878-1904 ( Pre '21) $1 Morgan Silver Dollar, Full Date, No Holes",274706149563,"Jan 28, 2026",$88.41,$21.84,,,Fixed price,https://www.ebay.com/itm/274706149563,5
1904-O $1 Morgan Silver Dollar NGC MS 62 | Uncirculated UNC,305242976676,"Dec 23, 2025",$73.95,$0.00,,,Fixed price,https://www.ebay.com/itm/305242976676,3
,,"Jan 11, 2026",$309.95,$0.00,,,Fixed price,,5
Capital Plastic Coin Holder #492A Morgan Silver Dollar Year Set 1878-1904 & 1921,363689493984,"Feb 13, 2026",$74.95,$7.20,,,Fixed price,https://www.ebay.com/itm/363689493984,3
1878-1904 MORGAN DOLLAR GEM UNCIRCULATED BEAUTIFUL COINS 🌟S MINT MARK🌟,364824762212,"Feb 4, 2026",$127.33,$0.00,,,Fixed price,https://www.ebay.com/itm/364824762212,3
VG/F 1904-O Morgan Silver Dollar (1 coin),365117524849,"Dec 28, 2025",$59.00,$0.00,,,Fixed price,https://www.ebay.com/itm/365117524849,5
1878-1904 Morgan Dollar Roll - CC End Gem BU Uncirculated Mint State Coins PQ,365823446125,"Jan 26, 2026","$1,997.99",$0.00,,,Fixed price,https://www.ebay.com/itm/365823446125,5
,,"Oct 20, 2025",$9.99,$2.00,,,Fixed price,,3
1904 O Morgan Dollar BU Choice Uncirculated Mint State 90% Silver $1 US Coin,365978727669,"Mar 5, 2026",$125.66,$0.00,,,Fixed price,https://www.ebay.com/itm/365978727669,3
,,"Jan 9, 2026",$90.98,$0.00,,,Fixed price,,5
