Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
1899-S $1 Morgan Dollar 90% Silver San Francisco US Coin,306933403004,"May 16, 2026",$58.76,$5.97,,,Auction,https://www.ebay.com/itm/306933403004,1
1899-S Morgan Silver Dollar PCGS VF30 Very Tough Date & Very Fine Example,257493628394,"May 16, 2026",$105.00,$5.28,,,Auction,https://www.ebay.com/itm/257493628394,1
1899-O Morgan Dollar NGC MS63 S$1 New Orleans Minted Silver Dollar No Reserve,137302004882,"May 16, 2026",$81.06,$3.03,,,Auction,https://www.ebay.com/itm/137302004882,1
1899 O BU UNCIRCULATED MORGAN SILVER DOLLAR AUTHENTIC U.S.MINT FREESHIPPING 6012,277964290474,"May 16, 2026",$133.50,$0.00,,,Auction,https://www.ebay.com/itm/277964290474,1
1884 MORGAN SILVER DOLLAR PCGS MS64 RAINBOW CRESENT TONED SEE PICTURES,137296095704,"May 16, 2026",$103.00,$5.99,,,Auction,https://www.ebay.com/itm/137296095704,1
1902 Morgan Silver Dollar $1 PCGS MS65 5684,198319669218,"May 16, 2026",$399.00,$0.00,,,Fixed price,https://www.ebay.com/itm/198319669218,1
1899 Philadelphia US Morgan Silver Dollar ~ AU ~ Uncertified ~ Light Toning ~,327144012989,"May 16, 2026",$230.27,$5.17,,,Auction,https://www.ebay.com/itm/327144012989,1
1899 S US Morgan Silver Dollar ~ Circulated ~ Uncertified ~,327144011560,"May 16, 2026",$96.01,$5.40,,,Auction,https://www.ebay.com/itm/327144011560,1
"1899-S Morgan Dollar, Nice Coin, Estate Sale, FREE SHIP",147308535651,"May 16, 2026",$65.00,$0.00,,,Fixed price,https://www.ebay.com/itm/147308535651,1
1899 O MORGAN SILVER DOLLAR AUTHENTIC HI GRADE U.S. MINT COIN FREE SHIPPING 6046,277964289364,"May 16, 2026",$92.75,$0.00,,,Auction,https://www.ebay.com/itm/277964289364,1
05/00000016 L#3548 1899-O Morgan Silver Dollar PCGS MS63 (red) -A.9,157907893473,"May 16, 2026",$120.00,$0.00,,,Auction,https://www.ebay.com/itm/157907893473,1
"1893-CC Morgan Dollar, Uncertified, NR.",117180462802,"May 16, 2026",$267.00,$4.95,,,Auction,https://www.ebay.com/itm/117180462802,1
[Removed] Item 366393257216,366393257216,"May 10, 2026",$39.39,$0.00,,,Fixed price,,12
,,"May 7, 2026",$48.91,$0.00,,,Fixed price,,3
,,"May 2, 2026",$88.75,$0.00,,,Fixed price,,4
,,"May 2, 2026",$80.00,$0.00,,,Fixed price,,2
US 1899 S Morgan Dollar - One Dollar Silver Coin-Beautiful Coin,318196905285,"May 1, 2026",$61.00,$0.00,,,Fixed price,https://www.ebay.com/itm/318196905285,2
,,"Apr 30, 2026",$60.88,$0.00,,,Fixed price,,4
1899-O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,404920089685,"Apr 28, 2026",$91.53,$0.00,,,Fixed price,https://www.ebay.com/itm/404920089685,36
1899 O Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,198129442561,"Apr 28, 2026",$145.86,$0.00,,,Fixed price,https://www.ebay.com/itm/198129442561,3
1899 O Morgan Dollar From OBW Estate Roll Choice-Gem Bu Uncirculated 90% Silver,266812323796,"Apr 28, 2026",$172.14,$0.00,,,Fixed price,https://www.ebay.com/itm/266812323796,3
1899-O $1 Morgan Silver Dollar PCGS MS63 Blue Label,206108168010,"Apr 28, 2026",$101.91,$0.00,,,Fixed price,https://www.ebay.com/itm/206108168010,2
[Removed] Item 318016666941,318016666941,"Apr 23, 2026",$61.70,$0.00,,,Fixed price,,40
[Removed] Item 406865797693,406865797693,"Apr 22, 2026",$34.99,$6.00,,,Fixed price,,2
1899-O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,404920089685,"Apr 16, 2026",$87.04,$0.00,,,Fixed price,https://www.ebay.com/itm/404920089685,42
US 1899 S Morgan Dollar - One Dollar Silver Coin-Beautiful Coin,318016666941,"Apr 16, 2026",$61.87,$0.00,,,Fixed price,https://www.ebay.com/itm/318016666941,30
BU/Unc 1899-O Morgan Silver Dollar (1 coin),133692448581,"Apr 16, 2026",$74.89,$0.00,,,Fixed price,https://www.ebay.com/itm/133692448581,10
1899 S Morgan Silver Dollar Graded PCGS MS64,116055529478,"Apr 15, 2026","$1,401.00",$5.00,,,Fixed price,https://www.ebay.com/itm/116055529478,1
US 1899 S Morgan Dollar - One Dollar Silver Coin-Beautiful Coin,318016666941,"Apr 13, 2026",$61.91,$0.00,,,Fixed price,https://www.ebay.com/itm/318016666941,22
1899-O Morgan Silver Dollar - NGC MS-64- Mint State 64 - Old Holder,117132799729,"Apr 10, 2026",$139.00,$4.50,,,Fixed price,https://www.ebay.com/itm/117132799729,1
Morgan Dollar 1879 1890 1899 1900 $1 Business Strike 90% Silver 0.9 Fineness,117136622580,"Apr 10, 2026",$275.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117136622580,1
MS 1899-O MORGAN SILVER DOLLAR EXQUISITE MS DETAIL COLLECTOR GRADE COIN M-1727,116976275939,"Apr 9, 2026",$85.00,$5.25,,,Fixed price,https://www.ebay.com/itm/116976275939,3
1899-O MS63 Glossy Surfaces PCGS New Orleans Mint Morgan Silver Dollar,117122790491,"Apr 9, 2026",$91.00,$5.50,,,Auction,https://www.ebay.com/itm/117122790491,1
1899 O Morgan Silver Dollar $1 Brilliant Uncirculated BU 90% Silver,117123495079,"Apr 9, 2026",$85.00,$5.00,,,Fixed price,https://www.ebay.com/itm/117123495079,1
US 1899 S Morgan Dollar - One Dollar Silver Coin-Beautiful Coin,318016666941,"Apr 8, 2026",$61.78,$0.00,,,Fixed price,https://www.ebay.com/itm/318016666941
US 1899 S Morgan Dollar - One Dollar Silver Coin-Beautiful Coin,318016666941,"Apr 7, 2026",$62.00,$0.00,,,Fixed price,https://www.ebay.com/itm/318016666941
1899 Morgan Silver Dollar Authentic ICG *2413,126822591390,"Apr 7, 2026",$166.00,$0.00,,,Fixed price,https://www.ebay.com/itm/126822591390,1
1899-O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,404920089685,"Apr 6, 2026",$85.12,$0.00,,,Fixed price,https://www.ebay.com/itm/404920089685
1899-O US Morgan Silver Dollar $1 - NGC Brilliant Uncirculated,404920089685,"Apr 6, 2026",$85.87,$0.00,,,Fixed price,https://www.ebay.com/itm/404920089685,43
🔴🟡🟢 1899-O NEW ORLEANS MINT U.S. MORGAN SILVER DOLLAR COIN,117111630083,"Apr 6, 2026",$70.00,$5.25,,,Fixed price,https://www.ebay.com/itm/117111630083,1
KEY DATE! 1899 P Morgan Silver Dollar ~ CIRCULATED BUT RARE ~ 90% Silver $1,117120894383,"Apr 6, 2026",$259.40,$4.92,,,Auction,https://www.ebay.com/itm/117120894383,1
1899-O Morgan Silver Dollar PCGS MS65,117091535778,"Apr 5, 2026",$178.58,$5.52,,,Auction,https://www.ebay.com/itm/117091535778,1
1899-O Morgan Silver Dollar MS63 PCGS,383116859936,"Apr 3, 2026",$126.00,$0.00,,,Fixed price,https://www.ebay.com/itm/383116859936
