Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2015 1/2 Ounce Year Of The Goat Silver,187988166032,"Feb 3, 2026",$54.00,$4.99,,,Auction,https://www.ebay.com/itm/187988166032,1
2015 Tanzania Lunar Year of the Goat 1 Oz 99 Silver Color Proof Fan Coin NZ Mint,188147964208,"Apr 14, 2026",$199.00,$6.22,,,Fixed price,https://www.ebay.com/itm/188147964208,1
,,"Oct 20, 2025",$25.00,$12.00,,,Fixed price,,6
"PAMP, Lunar Series, Goat, 2015, 1 troy oz .999 Fine Silver Art Bar",197841670041,"Jan 28, 2026",$145.00,$8.59,,,Fixed price,https://www.ebay.com/itm/197841670041,1
,,"Dec 24, 2025",$72.50,$7.95,,,Fixed price,,3
,,"Dec 31, 2025",$40.95,$5.50,,,Fixed price,,1
,,"Jan 9, 2026",$85.53,$5.95,,,Fixed price,,1
2015 Australia Lunar Year of the Goat 1 oz .9999 Silver Coin w/ Perth Mint Cap.,198041513942,"Jan 20, 2026",$95.00,$5.95,,,Fixed price,https://www.ebay.com/itm/198041513942,1
2015 Australia Lunar Year of the Goat 1 oz .9999 Silver Coin w/ Perth Mint Cap.,198070234783,"Feb 1, 2026",$100.00,$5.95,,,Fixed price,https://www.ebay.com/itm/198070234783,1
2015 YEAR OF THE GOAT 1 TROY 0Z SILVER COIN .999 BU BRILLIANT TONING NIUE,198087029590,"Feb 8, 2026",$85.00,$0.00,,,Fixed price,https://www.ebay.com/itm/198087029590,2
2015 YEAR OF THE GOAT COIN .999 SILVER 1OZ BRILLIANT WITH TONING,198114720607,"Feb 28, 2026",$99.99,$0.00,,,Fixed price,https://www.ebay.com/itm/198114720607,1
,,"Jan 6, 2026",$95.00,$0.00,,,Fixed price,,2
,,"Nov 1, 2025",$22.50,$4.54,,,Auction,,1
Australia - 2015 P - Proof 1 oz Silver Year of the Goat $1 - NGC PF 69 UC,206037921567,"Feb 4, 2026",$107.50,$0.00,,,Auction,https://www.ebay.com/itm/206037921567,1
,,"Nov 11, 2025",$107.00,$5.15,,,Auction,,1
,,"Dec 12, 2025",$63.00,$0.00,,,Fixed price,,1
,,"Dec 14, 2025",$58.00,$0.00,,,Fixed price,,1
,,"Dec 20, 2025",$68.00,$0.00,,,Fixed price,,1
,,"Jan 2, 2026",$72.95,$6.18,,,Fixed price,,3
2015 KILO SILVER COIN YEAR OF THE GOAT EMERALD EYE GEMSTONE COLORIZED 1 OZ,227153121960,"Jan 23, 2026",$115.00,$12.19,,,Fixed price,https://www.ebay.com/itm/227153121960,1
2015 PAMP Suisse Lunar Series Year of Goat 1 oz .999 Fine Silver in Assay,227218986883,"Feb 22, 2026",$276.00,$3.10,,,Auction,https://www.ebay.com/itm/227218986883,1
2015-P Australia 1 oz. $1 Goat Family Antique Silver Coin Gem BU in Capsule,227229115473,"Mar 2, 2026",$92.17,$5.00,,,Auction,https://www.ebay.com/itm/227229115473,1
2015 PAMP Suisse Lunar Series Year of Goat 1 oz .999 Fine Silver in Assay,227230955551,"Mar 3, 2026",$256.00,$2.36,,,Auction,https://www.ebay.com/itm/227230955551,1
,,"Dec 28, 2025",$35.00,$6.37,,,Fixed price,,1
,,"Nov 13, 2025",$57.20,$6.00,,,Fixed price,,1
[Removed] Item 236202052350,236202052350,"Jan 11, 2026",$119.99,$0.00,,,Fixed price,,1
,,"Dec 5, 2025",$113.50,$1.56,,,Auction,,1
,,"Dec 15, 2025",$65.55,$18.56,,,Auction,,1
,,"Dec 28, 2025",$81.00,$4.54,,,Auction,,1
,,"Jan 7, 2026",$85.00,$0.00,,,Fixed price,,1
TWO 1/2oz 999 Fine Silver 2013 Australia Year of Goat Perth Mint Bullion Coins,236582792722,"Jan 22, 2026",$103.00,$0.00,,,Fixed price,https://www.ebay.com/itm/236582792722,1
2015 Australia $1 Silver 1 Ounce .999 Lunar Year of the Goat,236606426089,"Feb 5, 2026",$85.55,$5.56,,,Auction,https://www.ebay.com/itm/236606426089,1
TWO 1/2oz 999 Fine Silver 2013 Australia Year of Goat Perth Mint Bullion Coins,236642060381,"Feb 22, 2026",$103.00,$0.00,,,Fixed price,https://www.ebay.com/itm/236642060381,1
,,"Dec 12, 2025",$94.88,$5.00,,,Fixed price,,1
,,"Jan 13, 2026","$1,900.00",$0.00,,,Fixed price,,1
,,"Nov 24, 2025",$95.00,$0.00,,,Fixed price,,1
,,"Nov 22, 2025",$158.25,$4.25,,,Auction,,1
,,"Dec 6, 2025",$153.50,$4.25,,,Auction,,1
,,"Dec 20, 2025",$113.00,$4.25,,,Auction,,1
,,"Dec 27, 2025",$78.00,$4.25,,,Auction,,1
,,"Dec 25, 2025","$2,799.95",$0.00,,,Fixed price,,1
,,"Jan 17, 2026",$202.50,$4.25,,,Auction,,1
2015 $1 Australia Lunar Series Year of the Goat 1 oz .999 Silver Coin in Capsule,257324502826,"Jan 31, 2026",$98.00,$4.25,,,Auction,https://www.ebay.com/itm/257324502826,1
,,"Dec 13, 2025",$85.00,$6.99,,,Fixed price,,1
Niue 2015 $2 Chinese Lunar Calendar Year of the Goat 1 oz Silver Coin,267106847475,"Jan 27, 2026",$149.95,$7.95,,,Fixed price,https://www.ebay.com/itm/267106847475,1
,,"Nov 5, 2025",$94.00,$0.00,,,Fixed price,,1
,,"Nov 16, 2025",$73.00,$0.00,,,Auction,,1
,,"Nov 29, 2025",$112.50,$4.25,,,Auction,,1
,,"Nov 29, 2025",$58.00,$4.00,,,Auction,,1
,,"Dec 26, 2025",$155.00,$6.84,,,Fixed price,,1
,,"Jan 22, 2026",$49.99,$5.25,,,Fixed price,,6
